cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
27563-65-1,O=C(O)C=1C=CC=C(Cl)C1C(=O)O,13,17,-8.7900937127015,-0.811987729892,7.978105982809501,2.109936404254877,1,0,11.852057386283064,2.0037490804261218,0.00036038129356812457
3807-81-6,O=C(O)C=1C=C(C=C(C(=O)O)C1C(=O)O)N(=O)=O,22,21,-9.635551446205,-2.0688816053515,7.566669840853502,8.13108588320158,1,1,10.839422590400147,2.402422281885402,0.0006487850472336821
2479-49-4,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,26,30,-9.0540441476865,-1.455809100175,7.5982350475115,4.47250366237972,0,1,14.016632407022499,1.9438140075436592,0.009682058192002185
24063-28-3,O=C(O)C1=CC(Br)=C(Br)C=C1C(=O)O,14,17,-8.734854601050001,-1.00682124685,7.728033354200001,2.5087180491238947,0,2,14.122304593175684,1.9021685587380401,0.00967926287152518
135989-69-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C=2C=CC=CC2,23,27,-8.778937044831,-1.303969571596,7.474967473235,6.609028019308134,0,2,11.828589015581628,2.0334467567894494,0.00041677457472687803
577-68-4,O=C(O)C1=CC(OC)=C(OC)C=C1C(=O)O,16,25,-7.768578317924501,-0.5776977046114999,7.190880613313,0.594500311185789,0,2,14.069867343152438,2.0093673170097563,0.013168618975354124
7717-76-2,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,25,34,-8.2447775562995,-0.8147088683970001,7.4300686879025,1.2404259308801957,0,1,14.413505613217879,1.9476034912742763,0.017201277419146746
5680-10-4,O=C(O)C=1C=C(C(=CC1C(=O)O)C)C,14,17,-8.454305221184502,-0.593752421791,7.860552799393502,2.7613085412535847,0,2,12.550755014112355,1.906444718914607,0.0007152910489720745
1072946-35-0,O=C(O)C1=CC=C(C=C1C(=O)O)B(O)O,15,19,-8.9500966567955,-0.8337568379320001,8.1163398188635,4.2603364914053445,0,1,12.203417112059185,1.8968557462816962,0.00034684841085610985
14236-13-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(C)(C)C,16,20,-8.629546540906501,-0.5880380309305,8.041508509976001,2.361375381001504,0,1,12.833263049723342,1.9157554289894807,0.001260496045957963
2408642-17-9,O=C(O)C1=CC=C(Br)C(F)=C1C(=O)O,14,17,-8.8164887562,-0.973623357089,7.842865399111,2.414856281437883,1,1,12.148486087363878,1.987714556444571,0.0005614028506320022
344309-11-1,O=C(O)C1=CC(Br)=CC(F)=C1C(=O)O,14,17,-8.7732226539705,-0.9793377479495,7.793884906021,1.7479114680097505,1,1,12.666530766191414,2.0176333240401108,0.0016299045108567698
62268-16-0,O=C(O)C=1C(Cl)=CC(Cl)=C(Cl)C1C(=O)O,15,17,-8.7666919215585,-0.8645057030385,7.902186218520001,1.2750610534401872,2,1,10.572939099653226,2.375176253843068,0.00037224420341196163
41819-13-0,O=C(O)C=1C(Br)=C(C(=O)O)C(C(=O)O)=C(Br)C1C(=O)O,21,22,-8.822747374761502,-1.1534906122695,7.669256762492002,4.505593195129804,2,2,8.982962629654978,2.268523398207706,1.0438845390162616e-05
3016-76-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(C2=CC=C(C(=O)O)C(=C2)C(=O)O)(C(F)(F)F)C(F)(F)F,33,37,-8.9533620230015,-0.9673647385275,7.985997284473999,5.21972360666731,0,1,11.879354763030989,1.9281676321169674,0.00022779639190498866
89-08-7,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)O,16,20,-9.4366362214895,-1.1360753258375,8.300560895652001,7.500861459859127,0,1,10.54591953014679,2.1036300907218384,6.010190345578784e-05
37951-15-8,O=C(O)C1=CC=C(OC=2C=CC=CC2)C=C1C(=O)O,19,28,-8.300560895652,-0.539329651691,7.761231243960999,3.109274682301324,0,1,12.094524707774696,1.9089600500876243,0.000304384257247593
56962-06-2,O=C(O)C1=CC=C(Cl)C(Cl)=C1C(=O)O,14,17,-8.86002697228,-0.9635551446205,7.8964718276595,2.362879264795389,1,1,12.155444518052846,1.9895812836409676,0.0005750256134061122
87639-56-3,O=C(O)C1=CC=C(C#C)C=C1C(=O)O,14,19,-8.5141702682945,-1.026413444086,7.4877568242085,0.6155573978111221,0,1,15.519703122330242,1.9936371643269193,0.0756257545426963
56896-91-4,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=O)C=CC2=O,19,23,-8.80016192517,-1.664792537359,7.135369387811,3.206759319001038,0,1,15.570015883474412,1.9695942783444436,0.07613963305773402
1185302-72-0,O=C(O)C=1C=CC=C(NC(=O)OC(C)(C)C)C1C(=O)O,20,34,-8.129945511388499,-0.759197642895,7.370747868493499,3.063988678177516,1,0,10.940675461001206,1.9767999511562933,4.859537087442624e-05
2828433-78-7,O=C(O)C1=CC=C(F)C(Br)=C1C(=O)O,14,17,-8.8069647714325,-0.788585938749,8.018378832683501,2.7606936610207224,1,1,11.275627267854532,1.9819189346466637,0.00010113428789125327
25641-98-9,O=C(O)C=1C=C(Cl)C=C(Cl)C1C(=O)O,14,17,-8.8347203841835,-1.001923197541,7.8327971866425,2.252488743590076,1,1,12.36227062892047,1.9942672032460689,0.0008548206578311568
2167659-32-5,O=C(O)C=1C(F)=CC=C(Br)C1C(=O)O,14,17,-8.637437842571,-0.8144367545465,7.8230010880245,1.547381598055244,2,0,10.21055133755057,2.359820433005323,0.00018952436595416795
16110-99-9,O=C(O)C=1C(Cl)=CC=C(Cl)C1C(=O)O,14,17,-8.655941584405,-0.7164757683665,7.939465816038499,0.7527087218838374,2,0,10.484921685801808,2.437991329457852,0.00045611300325348186
62268-15-9,O=C(O)C1=CC(Cl)=C(Cl)C(Cl)=C1C(=O)O,15,17,-8.9686003986295,-1.1121293069935,7.856471091635999,3.559856419857408,1,2,11.708001630013513,1.9658791130132773,0.0002122913509041511
675139-09-0,O=C(O)C1=CC=C(C=C1C(=O)O)CNC(=O)OC(C)(C)C,21,25,-8.744106471967001,-0.6811009678015,8.0630055041655,4.406165093366339,0,1,11.56578074607964,1.9057923214944474,0.00010165983264676277
10210-28-3,O=C(O)C=1C=C2C=C3C=CC=CC3=CC2=CC1C(=O)O,20,29,-7.083667756216,-1.2405670444295,5.8431007117865,3.391101422841847,0,2,14.197368465410577,1.9090602702354955,0.011094240860704707
92971-15-8,O=C(O)C1=CC=C(C(=C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.75800267893,-2.3023552890805004,7.455647389849499,9.060131102804196,1,1,10.692301476666117,2.6599462859400376,0.0016948342287777841
18959-91-6,O=C(O)C1=CC=C(OC2=CC=CC(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)=C2)C=C1C(=O)O,32,45,-8.313622360476,-0.5684458336945,7.7451765267815,5.812796361476979,0,1,10.02769895838972,1.9768699692830811,6.429140414943279e-06
1824411-98-4,O=C(O)C=1C=C2C(=CC1C(=O)O)CN(C(=O)OC(C)(C)C)C2,22,25,-8.2703562582465,-0.613888846728,7.656467411518499,3.379533797730095,0,2,12.144403916373165,1.8990909030451086,0.00031367881971441783
623904-16-5,O=C(O)C=1C=CC(=CC1)C2=CC(C(=O)O)=C(C=C2C3=CC=C(C=C3)C(=O)O)C(=O)O,36,43,-8.141646406960001,-1.174987606459,6.966658800501001,4.962400073553119,0,2,12.763382387837481,1.9288334630978285,0.001197975947980703
21278-45-5,O=C(O)C1=CC=C(N=NC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,26,35,-8.421379445273999,-1.885748983965,6.535630461308999,4.108750148159413,0,1,15.488239907098247,2.0147307495996056,0.07623847342439133
51307-74-5,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)S(=O)(=O)O,19,23,-9.5971833932845,-1.6226148905315,7.974568502753,8.65726173221071,0,2,11.093577315601706,2.315774251821954,0.0006116495549210099
3885-88-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C=CC=CC2,20,24,-8.741113219611501,-1.3412491691145,7.399864050497001,4.528789490581341,0,1,13.62737216535568,1.9313932683474786,0.0051142808225437195
1868072-45-0,O=C(O)C=1C=C(C=C(C1)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C(=O)O,32,30,-8.3509019579945,-0.9923992127735,7.358502745221,3.2486314426231857,0,1,13.518913442114268,1.8917011710005995,0.003598182133033062
50276-60-3,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1C(=O)O,18,29,-8.1130744526575,-0.6576991766585,7.455375275999,2.5178727807417114,1,2,11.02362412956542,2.001873088072952,7.076378685353193e-05
1245212-48-9,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=CN=CC2,21,25,-8.234165116129999,-1.047638324425,7.186526791704999,4.872239099223272,0,1,12.424628180825252,1.9178503177387105,0.0006068318151012725
476-73-3,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1C(=O)O,22,21,-9.3212599488775,-1.32247331343,7.998786635447501,3.888676168055139,1,1,12.108238271910949,1.9794769100944434,0.0004957906623658031
1092449-37-0,O=C(O)C1=CC=C(F)C(F)=C1C(=O)O,14,17,-9.0028867437925,-0.7872253694965,8.215661374296,2.574850560712213,1,1,11.414804349542976,1.9875573226835128,0.00013939256061429317
937647-86-4,O=C(O)C1=CC(Cl)=C(Br)C=C1C(=O)O,14,17,-8.777304361728001,-0.97416758479,7.803136776938001,2.610182143069713,0,2,13.941562140207509,1.8985674339085459,0.0072609358414216785
13810-83-8,O=C(O)C=1C(Br)=C(Br)C(Br)=C(Br)C1C(=O)O,16,17,-8.708731671401999,-0.9123977407265,7.796333930675499,2.086605762955714,2,2,10.11550699947999,2.318519532246466,0.0001244863681811991
499793-28-1,O=C(O)C1=CC(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)=CC(=C1)C(=O)O,31,29,-8.399066109532999,-1.004644336046,7.394421773486999,3.379372807193666,0,1,13.458594801283155,1.8918710519268416,0.0032594140918801376
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.789023657887,-2.428344001862,7.360679656025001,9.481184314208852,0,2,12.560086205480005,2.7686635709362615,0.0196651442807885
518-90-1,O=C(O)C1=CC=C(OC)C(OC)=C1C(=O)O,16,25,-8.0825977014015,-0.4933424109565,7.589255290445,6.360190720410828,1,1,7.338703703436707,2.088446944789562,3.018154262159079e-08
82520-79-4,O=C(O)C1=CC=C(S)C=C1C(=O)O,13,18,-7.956064760918999,-0.7480409750245001,7.2080237858944995,1.685542319255141,0,1,13.875165475695681,1.927182486265094,0.007359136463200459
144876-16-4,O=CC1=CC=C(C(=O)O)C(=C1)C(=O)O,19,17,-9.1852030236275,-1.3684605541645,7.816742469463001,5.014299239175899,0,1,13.326224103011157,1.9488683111879797,0.0034279842459575376
13124-84-0,O=C(O)C=1C=C(C(=O)O)C(=CC1Br)C(=O)O,18,20,-8.873088437104,-1.163558824738,7.709529612366,3.048617819602844,0,2,14.216696648157907,1.904189750110562,0.011211483431707428
22179-20-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)N,16,20,-9.312280191811,-1.0555296260895,8.2567505657215,9.03406064402935,0,1,8.9879265489011,2.3070252319393045,1.4572627653148065e-05
2300-16-5,O=C(O)C1=C(C(=O)O)C(=CC=C1N(=O)=O)N(=O)=O,19,18,-9.7375941401425,-2.4645351439785,7.273058996164,0.3213044817614593,2,0,15.348232951589935,2.930214292816916,0.24388592942792747
2639451-53-7,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)OC(C)(C)C,20,24,-8.054025747099,-0.654161696602,7.399864050497,5.717844378784719,0,1,10.40539255361908,1.9617687353361652,1.3170734823136324e-05
1417569-13-1,O=C(O)C=1C(Br)=CC=C(Br)C1C(=O)O,14,17,-8.51716352065,-0.7066796697485,7.8104838509015,0.7295052432984975,2,0,10.47038753902126,2.4418220834610778,0.00045524691920417575
53812-59-2,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1C(=O)O)C(F)(F)F,24,25,-9.580584448404,-1.420978527311,8.159605921093,6.444553540005701,1,2,10.347502602252106,2.071496365032008,3.1117471884719444e-05
479-47-0,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1)C(=O)O,23,21,-9.4143228857485,-1.2125393178280002,8.2017835679205,4.11732917071249,1,1,11.585958991534241,1.9704670888019709,0.00017263864802595941
1170416-53-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCC,17,21,-9.1628896878865,-1.1428781721,8.0200115157865,3.845013602056565,0,1,13.543245358265025,1.9020163874912788,0.003927006943306326
63181-80-6,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C)C1C(=O)O,20,31,-7.999058749298,-0.687903814064,7.311154935234001,6.33007335344544,1,0,8.03644239016873,2.0533450257607346,1.1661424418110271e-07
1323408-36-1,O=C(O)C=1C=CC=C(OCC2=CC=C(C=C2)CO)C1C(=O)O,22,35,-8.142734862362,-0.6827336509045,7.4600012114575,6.726452118316163,1,0,7.687241352359166,2.0826334554976595,6.987698913224283e-08
209324-65-2,O=C(O)C1=CC=C(C(NC(=O)C)=C1C(=O)O)N(=O)=O,19,26,-8.7563515952395,-1.8087407642735,6.947610830966001,9.056427894595087,1,1,9.3460023727133,2.454859356868141,8.176509163019684e-05
4445-58-3,O=C(O)C=1C=CC(=CC1C(=O)O)C=2C=CC=CC2,18,22,-8.0085827340655,-0.872397004703,7.1361857293625,1.9282532665601788,0,1,14.111399655640923,1.915265261264943,0.01000440490655187
2612386-56-6,O=C(O)C1=CC(F)=C(Br)C=C1C(=O)O,14,17,-8.8031551775255,-0.8615124506830001,7.941642726842501,2.750452653655394,0,2,13.467076263748666,1.8935048821018843,0.0033312932332459355
99807-59-7,O=C(O)C=1C=C(C(=O)O)C(=CC1Cl)C(=O)O,18,20,-8.9974444667825,-1.197845169901,7.7995992968815,2.8873728283683766,0,2,14.443997643242497,1.9092145386949075,0.01581511833890395
176796-64-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.636349387169,-0.764639919905,7.871709467264,2.7760466674751707,0,1,13.12369613903762,1.8943806849416172,0.001869086719683586
2080747-16-4,O=C(O)C1=CC=C(Cl)C(=C1C(=O)O)N(=O)=O,16,19,-9.2238431903985,-1.853095321905,7.370747868493499,5.6889968825795645,1,1,12.22987019017792,2.107684134308401,0.0012632590974582907
4277-02-5,O=C(O)C=1C=C(C=C(C1C(=O)O)N(=O)=O)N(=O)=O,18,21,-9.8812702532065,-2.2623545530570004,7.6189157001495,5.407243636086689,1,1,13.503926580784864,2.23345590155573,0.012984231410506572
4961-03-9,O=C(O)C=1C=C(C(=O)O)C(=CC1O)C(=O)O,18,21,-8.485054086290999,-0.966004169275,7.519049917015999,3.600695057902016,0,2,13.161742244307291,1.8906351961647299,0.001957822789326668
57296-46-5,O=C(O)C1=CC(OC)=C(Cl)C(Cl)=C1C(=O)O,16,21,-8.3302213053565,-0.9303572548595,7.399864050497001,4.121956647030631,1,2,10.670898255035738,1.9617842622621895,2.3840417135307973e-05
2248293-20-9,O=C(O)C1=CC=C(C=C1C(=O)O)CC(NC(=O)OC(C)(C)C)C,23,27,-8.532946123979,-0.648175191891,7.884770932088,2.2574491467140514,0,1,13.117633448826084,1.9126143200434997,0.002033447366145396
2088-87-1,O=C(O)C=1C=CC=2C=CC=CC2C1C(=O)O,16,23,-7.821640518771999,-0.9934876681755,6.828152850596499,3.071451497256631,1,1,11.708145164464469,1.969447915090656,0.0002177351940734107
103203-38-9,O=C(O)C1=CC(OC)=CC(=C1C(=O)O)C,15,21,-8.042052737677,-0.465314684355,7.576738053322,4.01218808382658,1,1,9.176923641960144,2.0126244179782224,1.2482037168707064e-06
219537-88-9,O=C(O)C1=CC=C(C#CC=2C=CC=CC2)C=C1C(=O)O,20,29,-7.6912979843825,-1.1758039480105,6.515494036372001,2.057549379723364,0,1,14.982636806042493,1.9274005530095284,0.034332200438801835
76284-57-6,O=C(O)C1=CC=C(F)C(=C1C(=O)O)C(F)(F)F,17,20,-9.2390815660265,-0.8046406559285,8.434440910098001,3.596901052294878,1,1,10.672148924681878,1.9665232626724984,2.4950407490324344e-05
325780-76-5,O=C(O)C1=C(OCC)C=2C=CC=CC2C(OCC)=C1C(=O)O,22,37,-7.6689846486415005,-0.689536497167,6.9794481514745,5.250387681876453,2,2,6.869363035483772,2.3131215370289566,1.767393608485813e-07
