cas,smiles,yield,homo_ev,lumo_ev,gap_ev,omega,dipole_moment_debye,molecular_volume_A3,h_nbo_charge,o_nbo_charge,polar,sasa,3and6,4and5,logp,hbd,hba
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,13.32,-8.984110888108,-0.6887201556155,8.2953907324925,2.8197484427688977,1.2822050733014592,139.35200000000003,0.53177,-0.66662,148.15503836666667,186.15839618349568,0,0,1.083,2.0,2.0
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,11.8,-7.8404163744565,-0.689536497167,7.1508798772894995,2.5437462676165556,2.5299084054566086,182.67200000000005,0.53129,-0.67134,232.2404643333333,185.0409140604219,0,2,2.2361999999999997,2.0,2.0
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,11.53,-9.3103753948575,-1.383426815942,7.9269485789155,3.606602357301582,4.369587112073634,194.60800000000003,0.53558,-0.6502,200.23170233333335,186.05507080640706,0,2,0.4794000000000001,4.0,4.0
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15.65,-9.4339150829845,-1.997859890371,7.4360551926135,4.393642719706132,6.392674753184305,162.83200000000005,0.53738,-0.64923,174.76908733333335,186.97603494319443,0,1,0.9911999999999999,2.0,4.0
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,12.49,-9.406431584084,-1.9159536213705,7.4904779627135,4.278645747936174,5.06371383275161,162.36800000000005,0.53804,-0.64626,174.36996433333334,173.06968593312203,1,0,0.9911999999999999,2.0,4.0
te,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC(OC3=CC=C(C(O)=O)C(C(O)=O)=C3)=CC(OC4=CC(C(O)=O)=C(C(O)=O)C=C4)=C2)O,4.18,,,,,,,,,,,0,1,5.252700000000003,6.0,9.0
de,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,11.5,-8.2964791878945,-0.5619151012825001,7.734564086612,2.536379183875141,3.0824622576764833,354.7120000000001,0.53356,-0.66032,413.06337233333335,192.22146045368345,0,1,4.064000000000001,4.0,6.0
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,8.7356475,-7.7424553882765,-0.5902149417345001,7.152240446542001,2.426980585580551,2.867541907278776,515.1680000000001,0.53345,-0.66031,620.6450773333332,187.96893980283295,0,1,7.648600000000005,4.0,8.0
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,17.69,-8.999077149885501,-2.315144640054,6.683932509831501,4.7880351321489085,1.6662079282010394,238.12000000000006,0.53544,-0.65208,303.48263433333335,186.51075591531884,0,2,1.8584,2.0,4.0
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,13.29,-8.170218361262501,-0.5477651810565,7.622453180206001,2.492742009931602,3.7256916592761673,164.14400000000003,0.53269,-0.66233,175.53671533333332,186.9495341566933,0,1,1.0916,2.0,3.0
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,8.95,-8.106271606395,-0.6353858409174999,7.470885765477499,2.5571457429877444,4.314676745713403,163.81600000000003,0.5353,-0.65898,171.98241199999998,182.10425715165985,1,0,1.0916,2.0,3.0
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,12.97,-7.563132360797001,-0.557833393525,7.005298967272001,2.3535785228789794,3.0442356413392178,262.60800000000006,0.53354,-0.66018,336.26945166666667,187.06781406866997,0,1,4.028500000000003,2.0,3.0
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,13.9,-6.9584953849860005,-0.844641391952,6.113853993034001,2.489793820271877,3.5669103787451686,322.16800000000006,0.53345,-0.66064,472.842236,190.003020605276,0,1,5.772700000000004,2.0,3.0
4-ne,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=CC=CC=C3C=C2)O,12.8,-7.196050776472501,-0.5466767256545,6.649374050818001,2.253965136944689,5.76472093513641,304.78400000000005,0.53297,-0.66181,375.4528613333334,189.54034902256268,0,1,3.6940000000000026,2.0,4.0
3-ne,O=C(C1=CC=CC(OCCOC2=CC3=CC=CC=C3C=C2)=C1C(O)=O)O,5.7,-7.1867989055555,-0.6821894232035,6.504609482352,2.37988835018253,6.884762086666466,304.5680000000001,0.53626,-0.65851,371.76347499999997,177.30065001185716,1,0,3.694000000000001,2.0,4.0
4-pe,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)O,13.55,-6.906249525690001,-0.7619187814,6.14433074429,2.3924820958126243,4.3629701603380235,364.5520000000001,0.53298,-0.66163,511.40107400000005,190.17843745186968,0,1,5.438200000000004,2.0,4.0
4-nb,O=C(C(C=C1)=C(C(O)=O)C=C1OCCCCOC2=CC3=CC=CC=C3C=C2)O,13.46,-7.150063535738,-0.5526632303655,6.5974003053725,2.2483098223148255,2.2490042374348698,338.16800000000006,0.53217,-0.66277,408.99610666666666,186.91376691660997,0,1,4.474200000000003,2.0,4.0
56962-08-4,ClC1=C(Cl)C=C(C(O)=O)C(C(O)=O)=C1,18.18,-8.8281896517715,-0.9959366928300001,7.832252958941501,3.0806416410654553,0.7044000638841539,169.34400000000005,0.53354,-0.65413,179.84947733333334,188.94070868130243,0,2,2.3897999999999993,2.0,2.0
2479-49-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C(C(O)=O)=C2,14.76,-9.0888747205505,-1.5268308151555001,7.562043905395,3.7256198664894074,4.35557362123521,285.71200000000005,0.53392,-0.65664,324.65706233333333,186.0090547180468,0,1,1.7104000000000001,4.0,5.0
10351-75-4,O=C(C1=CC2=C(C=C1C(O)=O)N=CN2)O,7.2,-8.307091628064,-0.438103299305,7.868988328759,2.429741636487525,6.235946358813552,164.05600000000004,0.53078,-0.67259,188.5680133333333,184.67851095460546,0,2,0.9593,3.0,3.0
