cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
52839-61-9,O=C(O)C1=CC=C2C(=O)C3=CC(C(=O)O)=C(C=C3C(=O)C2=C1)C(=O)O,186.7906362044681,330.6965833333333,0.53552,-0.65123,266.0400000000001,2.92555219232199,-9.1911895283385,-2.4378679866295,6.753321541709001,5.006239442739871,0,2,1.5566000000000002,3,5,ok,False,18.19184697372216,2.0171036656873222,2.0171036656873222,14.238396435891287,22.145297511553032,18.18,0.5,1.0,0.4043874042857746,0.5840818860242879,20.208950639409483,2.191769670484674,2.714196543365607,0.807520618152021,True,0.5209560755540193,0.30428100714540307
17851-32-0,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C2=CC(C(=O)O)=C(C=C2C(=O)O)C(=O)O,190.02868211837935,375.272828,0.53563,-0.65086,341.7680000000001,7.268179151616999,-9.2864293760135,-1.833503124669,7.452926251344501,4.147796940746198,0,2,1.1068000000000002,6,7,ok,False,17.608073831615105,4.014482615668618,4.014482615668618,9.739832488342461,25.47631517488775,18.18,0.5,1.0,0.39472889296735064,1.1223396119718196,21.622556447283724,3.1027274765279853,2.714196543365607,1.1431476781267282,False,0.27068848692863035,0.303804411384718
61754-78-7,O=C(O)C=1C=C2C(=O)C=3C(O)=CC=C(O)C3C(=O)C2=CC1C(=O)O,186.31008455794216,332.69293666666664,0.53538,-0.65242,253.25600000000009,3.206191861071324,-7.7729321395325,-2.3273897633265,5.445542376206,4.683486762821312,0,2,1.2695999999999998,4,6,ok,False,17.8407696795566,2.157982895679935,2.157982895679935,13.611200924770472,22.07033843434273,18.18,0.5,1.0,0.3486766427445263,0.5055892101712819,19.998752575236537,2.1740094654581243,2.714196543365607,0.8009771697529133,True,0.5264681587392163,0.2661766205572894
694495-06-2,O=C(O)C=1C=C2C(=O)C=3NC(=O)C(=O)NC3C(=O)C2=CC1C(=O)O,185.9872025122848,313.14969533333334,0.5363,-0.64912,246.36000000000007,10.75309889985208,-8.290220569333,-2.6833146797805,5.6069058895525,5.369203542720214,0,2,-0.7649999999999997,4,6,ok,False,18.50952857255286,3.7793808014418175,3.7793808014418175,11.102078317864773,25.916978827240946,18.18,0.5,1.0,0.4820115490006413,1.4240526001048077,22.288909373994677,3.8265977130979367,2.714196543365607,1.409845474326981,False,0.13701508338956522,0.1951166857544874
844645-02-9,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)S(=O)(=O)O,186.9754670909084,341.5895306666667,0.53571,-0.65074,280.7680000000001,7.376475458509979,-9.34983190318,-2.499093602992,6.8507383001880005,5.123427194955052,0,2,1.1051000000000002,3,6,ok,False,17.626678097361307,2.365266130309925,2.365266130309925,12.990841668101432,22.26251452662118,18.18,0.5,1.0,0.3280409605581365,0.5089944204670196,19.991944227671233,2.6697950579937197,2.714196543365607,0.9836410205884245,True,0.38001306039787225,0.1934245274471135
203260-10-0,O=C(O)C=1C=C2C(=C(O)C1C(=O)O)C=3C(O)=C4C(=O)C5=CC(O)=C(C(O)=C5C(=O)C4=C(OC)C3CC2)C,184.40260778130065,556.118304,0.53902,-0.65878,401.1360000000001,3.982235298171117,-7.678236519558499,-2.176366576299,5.5018699432595,4.412736177808982,1,2,2.763420000000001,6,9,ok,False,16.200378471434508,4.187504069929592,4.187504069929592,7.993021309257612,24.407735633611402,18.18,0.5,1.0,0.2768757939034864,0.7153785301192458,20.3878825413641,3.253118295857564,2.714196543365607,1.1985566424101672,False,0.23774941810547204,0.1700808292609986
2324778-02-9,O=C(O)C1=CC=C(N=NC2=NC=3C=C(C(=O)O)C(=CC3N2)C(=O)O)C=C1,187.0830087875859,394.93868733333335,0.53183,-0.66992,282.22400000000005,3.297840769351971,-8.107360061797,-2.1834415364120003,5.923918525384999,4.469195393213919,0,2,3.0729,4,6,ok,False,17.39817047700707,1.8523216252375752,1.8523216252375752,13.767686803756725,21.028654150257417,18.18,0.5,1.0,0.24446477271706007,0.26825704609344614,19.250492102244646,2.007388481835734,2.714196543365607,0.739588474807565,True,0.5786884020042026,0.15523724133018404
1415112-14-9,O=C(O)C=1C=C2C(=O)C3=CC=C(O)C=C3C(=O)C2=CC1C(=O)O,186.5953787308769,316.16523666666666,0.53534,-0.6526,246.7040000000001,2.4909615111438392,-8.2964791878945,-2.29119862121,6.005280566684499,4.666681270950734,0,2,1.564,3,5,ok,False,17.612291517966383,1.6354827056586454,1.6354827056586454,14.406804317537317,20.817778718395452,18.18,0.5,1.0,0.25692972599742847,0.25291335790899,19.24777422362503,1.9392069191100312,2.714196543365607,0.714468126433251,True,0.6002165911298629,0.15180279353534093
294675-76-6,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C2=CC=CC(=C2)N3C(=O)C4=CC=C(C=C4C3=O)N(=O)=O,190.3124693245524,471.58161966666665,0.53301,-0.66157,378.2080000000001,7.690108207301118,-8.176204865973501,-2.239496989615,5.936707876358501,4.568476645807869,0,1,3.044100000000001,3,7,ok,False,17.4931615131848,1.8468083040872818,1.8468083040872818,13.87348375082423,21.11283927554537,18.18,0.5,1.0,0.2602278771788192,0.29046251544615936,19.33996981727208,2.3515277536963075,2.714196543365607,0.8663807930358685,True,0.4720758163000663,0.1371203290838163
10133-84-3,O=C(O)C1=CC=C(N=N(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,188.9989075467748,362.3044903333334,0.53334,-0.66008,293.24800000000005,4.284725369262305,-8.3922632632705,-2.0340510324875,6.358212230783,4.274315870883587,0,1,2.4051,4,6,ok,False,17.39094156935158,1.6695015955747838,1.6695015955747838,14.118778569892848,20.66310456881031,18.18,0.5,1.0,0.22002117183747466,0.21073585707298798,19.06044316492636,1.853695275722605,2.714196543365607,0.6829628017372761,True,0.6272323777709348,0.1321803527134861
2324777-75-3,O=C(O)C1=CC=2N=C(N=NC3=CC(Cl)=CC=C3Cl)NC2C=C1C(=O)O,189.97738786569332,393.989956,0.53175,-0.66887,284.76000000000005,5.9263220069449485,-8.0782438797935,-2.157318606764,5.920925273029501,4.423579701868887,0,2,4.681500000000001,3,5,ok,False,17.456724838990965,1.6151348844838416,1.6151348844838416,14.291118635228376,20.622331042753554,18.18,0.5,1.0,0.22441031967857195,0.20916319093354763,19.071859723474805,2.0245067607269864,2.714196543365607,0.745895416334366,True,0.5732920695725506,0.11991159860869208
