cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
640296-38-4,O=C(O)C1=CC=C(OC=2C=CC=C(F)C2NC(=O)C3=NC=CC(Cl)=C3)C=C1C(=O)O,182.87003215374625,391.887575,0.53335,-0.66003,337.84800000000007,4.779299739501594,-8.379473912297,-0.83266838253,7.546805529767,2.811241303536032,0,1,4.315100000000002,3,5,ok,False,9.496222300876386,1.2787849917355067,1.2787849917355067,6.989849773104442,12.00259482864833,18.18,0.5,1.0,3.443921224448522e-13,5.914799199256437e-14,10.775007292611892,1.3399375193200178,2.4824485263151033,0.539764472502072,True,0.7472573171396948,4.4198769810563805e-14
60949-00-0,O=C(O)C1=CC=2C=CC=C(O)C2C=C1C(=O)O,185.84987217199227,240.70716366666664,0.5317,-0.66935,191.24000000000004,4.4978480076587735,-7.4654434884675,-0.6838221063065,6.781621382161,2.4481803831182467,0,2,1.9418,3,3,ok,False,9.477647289077149,1.2787849917355067,1.2787849917355067,6.971274761305205,11.984019816849093,18.18,0.5,1.0,3.0963968967506097e-13,5.3079283916584525e-14,10.756432280812655,1.1169080247209295,2.4824485263151033,0.4499219270334058,True,0.8167438646587122,4.3352179479348267e-14
1390653-46-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)CN,188.1725568463957,209.50567966666668,0.53191,-0.66676,197.04000000000005,1.821018022975061,-8.3465481363865,-0.6430050287315,7.703543107655,2.6225616245393697,0,1,0.0415000000000002,4,4,ok,False,9.47514145507923,1.2787849917355067,1.2787849917355067,6.968768927307286,11.981513982851174,18.18,0.5,1.0,3.0522327657306555e-13,5.230892466046295e-14,10.753926446814736,1.094775045026007,2.4824485263151033,0.4410061410824373,True,0.8232573609196383,4.3063707268516915e-14
2735913-07-0,O=C(O)C=1C(Br)=C(C(=C(Br)C1C(=O)O)N(=O)=O)N(=O)=O,164.84063595590334,248.21459233333331,0.54203,-0.61397,226.26400000000007,9.224102355785089,-9.209421156322,-2.2857563442,6.923664812122001,4.771284765878511,2,2,2.4244000000000003,2,6,ok,False,10.079313104684202,1.2787849917355067,1.2787849917355067,7.5729405769122575,12.585685632456146,18.18,0.5,1.0,8.73926569179884e-12,1.5951890626745392e-12,11.358098096419708,4.7392933006884,2.4824485263151033,1.9091204713611172,False,0.026128176850159533,4.1679381939000576e-14
1072946-35-0,O=C(O)C1=CC=C(C=C1C(=O)O)B(O)O,186.2041315510129,176.42128433333335,0.53224,-0.66366,172.52000000000004,4.2603364914053445,-8.9500966567955,-0.8337568379320001,8.1163398188635,2.9484900627194097,0,1,-1.2372,4,4,ok,False,9.468503975668055,1.2787849917355067,1.2787849917355067,6.962131447896111,11.974876503439999,18.18,0.5,1.0,2.9382170414554855e-13,5.0321085996674314e-14,10.747288967403561,1.15000047949589,2.4824485263151033,0.4632524974054256,True,0.8068618004631322,4.0602162048536744e-14
1630293-09-2,O=C(O)C1=CC(Br)=C2C(OCC2N)=C1C(=O)O,182.1951966991005,224.63722,0.53405,-0.65637,203.27200000000005,3.94945628409785,-8.242328531645,-0.8895401772845,7.3527883543605,2.835353817428714,1,2,1.2377,3,4,ok,False,9.476126088667485,1.2787849917355067,1.2787849917355067,6.9697535608955405,11.982498616439429,18.18,0.5,1.0,3.0695122140822176e-13,5.261030766097392e-14,10.75491108040299,1.461676962070184,2.4824485263151033,0.5888045397822882,True,0.7070239161057568,3.719674574999048e-14
63181-80-6,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C)C1C(=O)O,179.9152462492374,270.451302,0.53578,-0.65709,235.2800000000001,6.33007335344544,-7.999058749298,-0.687903814064,7.311154935234001,2.5804171586345137,1,0,3.183720000000002,2,3,ok,False,9.446467992163601,1.2787849917355067,1.2787849917355067,6.940095464391657,11.952840519935545,18.18,0.5,1.0,2.5888709487332804e-13,4.423931536374475e-14,10.725252983899107,1.0337229993257164,2.4824485263151033,0.41641266208252625,True,0.8408016431574882,3.7196489049998897e-14
99684-25-0,O=C(O)C1=CC(OC)=C(N)C=C1C(=O)O,187.1925673264102,198.0087563333333,0.53063,-0.67037,176.10400000000004,3.409948860320342,-7.3027194058685,-0.4340215915475,6.868697814321,2.178621147675816,0,2,0.6738,3,4,ok,False,9.450517451559525,1.2787849917355067,1.2787849917355067,6.944144923787581,11.95688997933147,18.18,0.5,1.0,2.6498552351192465e-13,4.529996876811881e-14,10.729302443295031,1.265918894559686,2.4824485263151033,0.5099476912171027,True,0.7710156187995293,3.4926983451350474e-14
1630263-16-9,O=C(O)C1=CC(Br)=C2C(=C1C(=O)O)CCC(=O)C2,178.4647270344924,240.2111463333333,0.53676,-0.65423,216.64800000000005,6.672981703106941,-8.559885395178501,-0.7643678060545,7.795517589124001,2.7881951636540943,1,2,1.9033000000000004,2,3,ok,False,9.407235719870389,1.2787849917355067,1.2787849917355067,6.900863192098445,11.913608247642333,18.18,0.5,1.0,2.0650160736826993e-13,3.5148174752079736e-14,10.686020711605895,1.0538540035410144,2.4824485263151033,0.4245219960735033,True,0.835087369769802,2.935179680592363e-14
856806-77-4,O=C(O)C1=CC=C(OC)C(Cl)=C1C(=O)O,178.74966893797964,191.04328633333333,0.53619,-0.64818,178.89600000000004,4.436750897898145,-8.2300834083725,-0.580690956967,7.6493924514055,2.5371212619199577,1,1,1.745,2,3,ok,False,9.39958588920394,1.2787849917355067,1.2787849917355067,6.893213361431997,11.905958416975885,18.18,0.5,1.0,1.9757469953613335e-13,3.360286403632422e-14,10.678370880939447,1.0237530127292653,2.4824485263151033,0.41239647141804137,True,0.8436050453669011,2.8347545639821103e-14
2578360-07-1,N#CCCC#CC1=CC=CC(C(=O)O)=C1C(=O)O,178.7236982150851,236.288075,0.53589,-0.65234,212.36000000000004,3.7963710645825968,-8.262464956582,-0.7099450359545,7.552519920627501,2.66481061686098,1,0,1.7382800000000005,2,3,ok,False,9.385363735032831,1.2787849917355067,1.2787849917355067,6.878991207260887,11.891736262804775,18.18,0.5,1.0,1.8197419118599024e-13,3.090535590681381e-14,10.664148726768337,0.9994277219868242,2.4824485263151033,0.4025975609936834,True,0.8503690934848595,2.6280959486304207e-14
2345019-57-8,O=C(O)C=1C=CC=C(NC(=O)CCN2C(=O)C3=CC=CC(=C3C2=O)N(=O)=O)C1C(=O)O,177.2460500432334,390.3492833333333,0.53452,-0.66317,339.8400000000001,6.827032290095016,-8.2801523568645,-1.946702486477,6.3334498703875,4.128419823601542,1,0,1.616,3,7,ok,False,9.515572339364091,1.2787849917355067,1.2787849917355067,7.009199811592147,12.021944867136035,18.18,0.5,1.0,3.8466401519015013e-13,6.619457617827552e-14,10.794357331099597,2.396176896586528,2.4824485263151033,0.9652473641189109,True,0.39388256442869635,2.6072889416369858e-14
343968-68-3,O=C(O)C1=CC(=CC(Br)=C1C(=O)O)C(C)(C)C,177.47814848562007,244.1046183333333,0.53638,-0.64732,224.72000000000008,2.68534457565505,-8.581382389367999,-0.7436871534165,7.837695235951498,2.773676423998213,1,1,3.1430000000000016,2,2,ok,False,9.373799648283148,1.2787849917355067,1.2787849917355067,6.867427120511204,11.880172176055092,18.18,0.5,1.0,1.7018667966707308e-13,2.886989350739919e-14,10.652584640018654,0.9780931664285069,2.4824485263151033,0.3940034027131949,True,0.8562107915457804,2.4718714371812648e-14
57296-46-5,O=C(O)C1=CC(OC)=C(Cl)C(Cl)=C1C(=O)O,176.8950784087316,205.21972266666663,0.5389,-0.64731,194.08000000000004,4.121956647030631,-8.3302213053565,-0.9303572548595,7.399864050497001,2.897293608528268,1,2,2.3984,2,3,ok,False,9.369705336881022,1.2787849917355067,1.2787849917355067,6.863332809109078,11.876077864652967,18.18,0.5,1.0,1.6619570947389664e-13,2.8181298115947652e-14,10.648490328616528,1.0353320183991706,2.4824485263151033,0.41706082016371016,True,0.8403475457983294,2.3682084709147694e-14
1344586-15-7,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)(C)CC(=O)O,187.874980110703,237.31400700000003,0.53176,-0.66702,229.4000000000001,2.6304940144391127,-8.404508386543,-0.650896330396,7.753612056147,2.643940462643855,0,1,0.7316000000000003,4,4,ok,False,9.35622824542417,1.2787849917355067,1.2787849917355067,6.8498557176522255,11.862600773196114,18.18,0.5,1.0,1.536971522405169e-13,2.6026763167394996e-14,10.635013237159676,1.1037069750394757,2.4824485263151033,0.4446041733956096,True,0.8206382638069305,2.1358557738205197e-14
1344539-61-2,O=C(O)C1=CC=C(C=C1C(=O)O)CC(N)C(=O)O,187.5322322303965,218.352311,0.53154,-0.66702,213.05600000000004,5.502052029016083,-8.6616559752655,-0.6604203151635,8.001235660102001,2.715240184647638,0,1,0.0373999999999999,4,4,ok,False,9.350196592867498,1.2787849917355067,1.2787849917355067,6.8438240650955535,11.856569120639442,18.18,0.5,1.0,1.4840700602838704e-13,2.5115760979882732e-14,10.628981584603004,1.10355998924,2.4824485263151033,0.4445449633866537,True,0.8206814686998366,2.0612039608484207e-14
2613724-46-0,O=C(O)C=1C=CC(=CC1C(=O)O)C2=NC3=CC=C(N)C=C3N2,186.7916235774057,336.968279,0.53309,-0.66253,247.08000000000007,6.571903403124547,-6.7829819514135,-1.100428411422,5.682553539991499,2.734165129791066,0,1,2.2085,4,4,ok,False,9.344638328148049,1.2787849917355067,1.2787849917355067,6.838265800376105,11.851010855919993,18.18,0.5,1.0,1.4369062349988372e-13,2.4304052301033623e-14,10.623423319883555,1.087229318383654,2.4824485263151033,0.4379665104265084,True,0.8254598415301133,2.00620191609508e-14
863962-12-3,O=C(O)C1=CC(OC2=CC=CC(N)=C2)=C(OC3=CC=CC(N)=C3)C=C1C(=O)O,188.2920321479965,393.69675466666666,0.53323,-0.66053,322.6640000000001,7.0337589665839415,-7.2085680135954995,-0.6446377118345,6.563930301760999,2.348929579179896,0,2,3.8320000000000007,4,6,ok,False,9.344112985885703,1.2787849917355067,1.2787849917355067,6.837740458113759,11.850485513657647,18.18,0.5,1.0,1.4325254286832028e-13,2.4228680672454696e-14,10.622897977621209,1.1049273968497386,2.4824485263151033,0.44509579358322915,True,0.8202793996611443,1.9874287636582708e-14
