cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
2535898-40-7,O=C(O)C=1C=CC=C(C#CC2=CN(N=C2C)CC)C1C(=O)O,175.2292909300304,322.30700333333334,0.53621,-0.65345,263.91200000000003,3.762509467097724,-7.402585189002,-0.7262718669845,6.6763133220175,2.4743564992203457,1,0,2.00762,2,4,ok,False,6.852841276203209,1.2728016727997231,1.2728016727997231,4.358195838053418,9.347486714353,18.18,0.5,1.0,7.554850343770169e-21,1.012136246689621e-21,8.125642949002932,1.3705747845599245,2.4824485263151033,0.5521060235614949,True,0.7372552861264182,7.4620279815207545e-22
67700-34-9,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)N(Cl)Cl,165.84392206534207,229.607525,0.53921,-0.63641,216.80800000000005,5.93528985391615,-9.4796302098685,-1.72520181217,7.7544283976985,4.0476310503867,1,0,1.3813000000000002,2,4,ok,False,6.986205149904086,1.2728016727997231,1.2728016727997231,4.491559711754294,9.480850588053876,18.18,0.5,1.0,2.0114206822639892e-20,2.7241404744009736e-21,8.259006822703808,3.104113570347919,2.4824485263151033,1.2504241427134857,False,0.20938920442361095,5.704056066729779e-22
2337154-44-4,O=C(O)C=1C=CC=C(NC(=O)CCC(=O)OC)C1C(=O)O,177.3920294442201,253.39505133333333,0.53695,-0.65024,248.4480000000001,7.43724898668856,-8.317976182084001,-0.6881759279145,7.629800254169501,2.65769656892739,1,0,0.9747,3,5,ok,False,6.805417685998301,1.2728016727997231,1.2728016727997231,4.31077224784851,9.300063124148092,18.18,0.5,1.0,5.319399322252097e-21,7.099232014277054e-22,8.078219358798025,1.5708090926829097,2.4824485263151033,0.6327660275859122,True,0.6700567654278569,4.756888440508372e-22
2385606-35-7,O=C(O)C=1C(F)=CC=C(O)C1C(=O)O,176.9851826465636,153.11109866666666,0.53432,-0.64774,152.36800000000002,3.979200495074356,-8.214028691193,-0.7257276392835,7.488301051909501,2.6681366939672992,2,0,0.9277,3,3,ok,False,6.789297104106181,1.2728016727997231,1.2728016727997231,4.29465166595639,9.283942542255971,18.18,0.5,1.0,4.7199163726756264e-21,6.290985978091279e-22,8.062098776905904,1.5920758797991028,2.4824485263151033,0.6413328868342533,True,0.6627828480810947,4.1695576037975693e-22
1630590-84-9,O=C(O)C1=CC(Br)=C2C(C(=O)CC2N)=C1C(=O)O,174.63435952235943,241.0886926666667,0.5386,-0.64874,213.3280000000001,3.6079399745561176,-8.6665540245745,-1.146143538306,7.5204104862685,3.2009234614378705,1,2,1.4317000000000002,3,4,ok,False,6.8038407530580765,1.2728016727997231,1.2728016727997231,4.309195314908285,9.298486191207868,18.18,0.5,1.0,5.257580761714421e-21,7.015837011819088e-22,8.0766424258578,1.8144420649458628,2.4824485263151033,0.730908232622726,True,0.5861222786611815,4.1121383760828587e-22
81241-95-4,O=C(O)C1=CC(Cl)=C(OC)C(OC)=C1C(=O)O,173.78869528162437,212.3287083333333,0.53698,-0.65225,204.80800000000005,5.174789671088091,-8.4156650544135,-0.7251834115825,7.690481642831,2.716185882720063,1,2,1.7536000000000005,2,4,ok,False,6.776714852211181,1.2728016727997231,1.2728016727997231,4.2820694140613895,9.271360290360972,18.18,0.5,1.0,4.298886135337057e-21,5.724009604190268e-22,8.049516525010905,1.503311618132243,2.4824485263151033,0.6055761487887641,True,0.6930019458153407,3.966749793569554e-22
1323408-52-1,O=C(O)C=1C=CC=C(OCC2=NC(=CS2)CN3CCOCC3)C1C(=O)O,175.4827794864906,345.629313,0.53612,-0.65748,316.5440000000001,6.5662159856343445,-7.711162295469001,-0.6729375522865,7.038224743182501,2.496834529375553,1,0,1.9507,2,7,ok,False,6.76452129980507,1.2728016727997231,1.2728016727997231,4.2698758616552785,9.25916673795486,18.18,0.5,1.0,3.926368841525568e-21,5.22287347713931e-22,8.037322972604793,1.4231812773772476,2.4824485263151033,0.5732973966190507,True,0.7198806065415952,3.759845326613057e-22
2348880-43-1,N#CC(=CC=1C=CC=CC1)C(=O)NC2=CC=CC(C(=O)O)=C2C(=O)O,173.00073483869508,362.4446056666666,0.53743,-0.64714,285.73600000000005,6.833325619345239,-8.176204865973501,-1.4990752024045,6.677129663569001,3.50491338038194,1,0,2.62868,3,4,ok,False,6.807729762752809,1.2728016727997231,1.2728016727997231,4.313084324603017,9.302375200902599,18.18,0.5,1.0,5.411338487139153e-21,7.22328045974946e-22,8.080531435552532,2.00792362538854,2.4824485263151033,0.8088480401924231,True,0.519839508719318,3.754946565538009e-22
2339869-17-7,O=C(O)C=1C=CC=C(NC(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C(C)CC)C1C(=O)O,172.34549993966218,402.7592603333333,0.53531,-0.64629,348.7840000000001,7.950863556243435,-8.503557828125,-1.5409807353815,6.9625770927435005,3.622679993695191,1,0,2.7298,3,5,ok,False,6.813311652978164,1.2728016727997231,1.2728016727997231,4.318666214828372,9.307957091127955,18.18,0.5,1.0,5.639827649351736e-21,7.531668975427345e-22,8.086113325777887,2.1129026306188643,2.4824485263151033,0.8511365324280116,True,0.48459906654796664,3.6498397550403715e-22
134030-34-5,O=C(O)C=1C=CC2=CC=C(C=C2C1C(=O)O)C(C)(C)C,174.1245713674077,302.80567333333335,0.53552,-0.65742,248.31200000000007,4.176614814655524,-7.648031882152999,-0.969813763182,6.678218118971,2.7802050728115004,1,1,3.5337000000000023,2,2,ok,False,6.756226750258003,1.2728016727997231,1.2728016727997231,4.261581312108212,9.250872188407794,18.18,0.5,1.0,3.691399013091475e-21,4.907042825466992e-22,8.029028423057726,1.5993143394232197,2.4824485263151033,0.6442487417039054,True,0.6603030113674455,3.2401351545648727e-22
