cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
89-20-3,O=C(O)C1=CC=C(Cl)C=C1C(=O)O,13,17,-8.809958023787999,-0.8269539916695,7.983004032118499,1.3735086202860178,0,1,12.122899608861559,1.9858360434391067,0.0006236464189054731
4316-23-8,O=C(O)C1=CC=C(C=C1C(=O)O)C,13,17,-8.641791664179,-0.6157936436815,8.0259980204975,2.25191052442143,0,1,10.458504663416335,2.108056187774774,6.24970332397482e-05
14963-97-4,O=C(O)C=1C=CC=C(OC)C1C(=O)O,14,21,-8.1065437202455,-0.6353858409174999,7.471157879328,4.315474756037856,1,0,6.351223984498759,2.785590686725919,6.385526949162989e-06
10351-75-4,O=C(O)C1=CC=2N=CNC2C=C1C(=O)O,15,20,-8.3073637419145,-0.4408244378099999,7.8665393041045,6.223521663013635,0,2,4.3139506740118065,3.835828487889202,0.0001397035538376213
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,16,17,-8.8733605509545,-0.945323516637,7.9280370343175,2.563406620105363,2,2,8.421465649777744,2.3114797697075162,5.922039278482676e-06
37141-01-8,O=C(O)C1=CC(N)=CC(C(=O)O)=C1C(=O)O,22,21,-7.6542905007145,-0.759197642895,6.8950928578195,7.848272277386916,1,1,1.818041619173485,5.042945644816781,0.0007854117443522601
835-58-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(F)(F)F,16,20,-9.2728236834885,-0.9341668487665,8.338656834722,3.5849786066307283,0,1,8.975684711237307,2.501145384521559,6.927452438914498e-05
37102-74-2,O=C(O)C1=CC=CC(=C1C(=O)O)C,13,17,-8.6164850760825,-0.5902149417345001,8.026270134348,2.639867636833332,1,0,8.783872210565434,2.207568165501447,4.8106154541710554e-06
201730-11-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.631995565561,-0.782599434038,7.849396131523001,2.574404770039086,0,1,10.252907657135793,2.1877491433934826,7.633488507993659e-05
1585-40-6,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C1C(=O)O,25,24,-9.469017769699,-1.374174945025,8.094842824674,5.774793525313265,2,1,4.472728885493865,3.7524472262445094,0.00011691150852729702
601-97-8,O=C(O)C=1C=CC=C(O)C1C(=O)O,13,18,-8.241784303944,-0.6587876320605,7.5829966718835,3.851036952562257,1,0,7.079440944203526,2.591652022421595,4.995219369009261e-06
27563-65-1,O=C(O)C=1C=CC=C(Cl)C1C(=O)O,13,17,-8.7900937127015,-0.811987729892,7.978105982809501,2.109936404254877,1,0,9.957893284575619,2.1102063630408563,2.3270052270478513e-05
3807-81-6,O=C(O)C=1C=C(C=C(C(=O)O)C1C(=O)O)N(=O)=O,22,21,-9.635551446205,-2.0688816053515,7.566669840853502,8.13108588320158,1,1,3.4691738681682835,5.487901961006311,0.00616133460994249
2479-49-4,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,26,30,-9.0540441476865,-1.455809100175,7.5982350475115,4.47250366237972,0,1,8.487017296626718,2.9401039360639754,0.0003738757457643306
24063-28-3,O=C(O)C1=CC(Br)=C(Br)C=C1C(=O)O,14,17,-8.734854601050001,-1.00682124685,7.728033354200001,2.5087180491238947,0,2,10.723513711261177,2.1891739194166333,0.00018201521955727665
135989-69-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C=2C=CC=CC2,23,27,-8.778937044831,-1.303969571596,7.474967473235,6.609028019308134,0,2,5.187679519457902,4.184993870092983,0.0010908529680306398
577-68-4,O=C(O)C1=CC(OC)=C(OC)C=C1C(=O)O,16,25,-7.768578317924501,-0.5776977046114999,7.190880613313,0.594500311185789,0,2,12.841094280417963,1.9136767183763421,0.001480647324250517
