cas,smiles,yield,conversion,selectivity,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,13.32,30.37,43.73,186.15839618349568,148.15503836666667,0.53177,-0.66662,139.35200000000003,1.2822050733014592,-8.984110888108,-0.6887201556155,8.2953907324925,2.8197484427688977,0,0,1.083,2,2
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,11.8,24.44,48.28,185.0409140604219,232.2404643333333,0.53129,-0.67134,182.67200000000005,2.5299084054566086,-7.8404163744565,-0.689536497167,7.1508798772894995,2.5437462676165556,0,2,2.2361999999999997,2,2
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,11.53,30.31,38.04,186.05507080640706,200.23170233333335,0.53558,-0.6502,194.60800000000003,4.369587112073634,-9.3103753948575,-1.383426815942,7.9269485789155,3.606602357301582,0,2,0.4794000000000001,4,4
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15.65,36.39,43.01,186.97603494319443,174.76908733333335,0.53738,-0.64923,162.83200000000005,6.392674753184305,-9.4339150829845,-1.997859890371,7.4360551926135,4.393642719706132,0,1,0.9911999999999999,2,4
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,12.49,32.69,38.21,173.06968593312203,174.36996433333334,0.53804,-0.64626,162.36800000000005,5.06371383275161,-9.406431584084,-1.9159536213705,7.4904779627135,4.278645747936174,1,0,0.9911999999999999,2,4
he2,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,11.8,27.0,43.7,192.22146045368345,413.06337233333335,0.53356,-0.66032,354.7120000000001,3.0824622576764833,-8.2964791878945,-0.5619151012825001,7.734564086612,2.536379183875141,0,1,4.064000000000001,4,6
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,8.7356475,21.0,41.43,187.96893980283295,620.6450773333332,0.53345,-0.66031,515.1680000000001,2.867541907278776,-7.7424553882765,-0.5902149417345001,7.152240446542001,2.426980585580551,0,1,7.648600000000005,4,8
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,17.69,22.38,79.04,186.51075591531884,303.48263433333335,0.53544,-0.65208,238.12000000000006,1.6662079282010394,-8.999077149885501,-2.315144640054,6.683932509831501,4.7880351321489085,0,2,1.8584,2,4
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,13.29,36.0,43.61,186.9495341566933,175.53671533333332,0.53269,-0.66233,164.14400000000003,3.7256916592761673,-8.170218361262501,-0.5477651810565,7.622453180206001,2.492742009931602,0,1,1.0916,2,3
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,8.95,21.36,41.9,182.10425715165985,171.98241199999998,0.5353,-0.65898,163.81600000000003,4.314676745713403,-8.106271606395,-0.6353858409174999,7.470885765477499,2.5571457429877444,1,0,1.0916,2,3
