cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5
2479-49-4,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,26,30,-9.0540441476865,-1.455809100175,7.5982350475115,4.47250366237972,0,1
24063-28-3,O=C(O)C1=CC(Br)=C(Br)C=C1C(=O)O,14,17,-8.734854601050001,-1.00682124685,7.728033354200001,2.5087180491238947,0,2
15371-06-9,O=C(O)C=1C=CC=C(NC(=O)C)C1C(=O)O,16,24,,,,,1,0
135989-69-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C=2C=CC=CC2,23,27,-8.778937044831,-1.303969571596,7.474967473235,6.609028019308134,0,2
577-68-4,O=C(O)C1=CC(OC)=C(OC)C=C1C(=O)O,16,25,-7.768578317924501,-0.5776977046114999,7.190880613313,0.594500311185789,0,2
7717-76-2,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,25,34,-8.2447775562995,-0.8147088683970001,7.4300686879025,1.2404259308801955,0,1
5680-10-4,O=C(O)C=1C=C(C(=CC1C(=O)O)C)C,14,17,-8.454305221184502,-0.593752421791,7.860552799393502,2.7613085412535847,0,2
1072946-35-0,O=C(O)C1=CC=C(C=C1C(=O)O)B(O)O,15,19,-8.9500966567955,-0.8337568379320001,8.1163398188635,4.2603364914053445,0,1
14236-13-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(C)(C)C,16,20,-8.629546540906501,-0.5880380309305,8.041508509976001,2.361375381001504,0,1
2408642-17-9,O=C(O)C1=CC=C(Br)C(F)=C1C(=O)O,14,17,-8.8164887562,-0.973623357089,7.842865399111,2.414856281437883,1,1
344309-11-1,O=C(O)C1=CC(Br)=CC(F)=C1C(=O)O,14,17,-8.7732226539705,-0.9793377479495,7.793884906021,1.7479114680097503,1,1
62268-16-0,O=C(O)C=1C(Cl)=CC(Cl)=C(Cl)C1C(=O)O,15,17,-8.7666919215585,-0.8645057030385,7.902186218520001,1.2750610534401872,2,1
41819-13-0,O=C(O)C=1C(Br)=C(C(=O)O)C(C(=O)O)=C(Br)C1C(=O)O,21,22,-8.822747374761502,-1.1534906122695,7.669256762492002,4.505593195129804,2,2
3016-76-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(C2=CC=C(C(=O)O)C(=C2)C(=O)O)(C(F)(F)F)C(F)(F)F,33,37,-8.9533620230015,-0.9673647385274999,7.985997284473999,5.21972360666731,0,1
89-08-7,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)O,16,20,-9.4366362214895,-1.1360753258375,8.300560895652001,7.500861459859127,0,1
37951-15-8,O=C(O)C1=CC=C(OC=2C=CC=CC2)C=C1C(=O)O,19,28,-8.300560895652,-0.539329651691,7.761231243960999,3.109274682301324,0,1
56962-06-2,O=C(O)C1=CC=C(Cl)C(Cl)=C1C(=O)O,14,17,-8.86002697228,-0.9635551446205,7.8964718276595,2.362879264795389,1,1
87639-56-3,O=C(O)C1=CC=C(C#C)C=C1C(=O)O,14,19,-8.5141702682945,-1.026413444086,7.4877568242085,0.6155573978111221,0,1
56896-91-4,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=O)C=CC2=O,19,23,-8.80016192517,-1.664792537359,7.135369387811,3.206759319001038,0,1
1185302-72-0,O=C(O)C=1C=CC=C(NC(=O)OC(C)(C)C)C1C(=O)O,20,34,-8.129945511388499,-0.759197642895,7.370747868493499,3.063988678177516,1,0
2828433-78-7,O=C(O)C1=CC=C(F)C(Br)=C1C(=O)O,14,17,-8.8069647714325,-0.788585938749,8.018378832683501,2.7606936610207224,1,1
25641-98-9,O=C(O)C=1C=C(Cl)C=C(Cl)C1C(=O)O,14,17,-8.8347203841835,-1.001923197541,7.8327971866425,2.2524887435900762,1,1
2167659-32-5,O=C(O)C=1C(F)=CC=C(Br)C1C(=O)O,14,17,-8.637437842571,-0.8144367545465,7.8230010880245,1.547381598055244,2,0
16110-99-9,O=C(O)C=1C(Cl)=CC=C(Cl)C1C(=O)O,14,17,-8.655941584405,-0.7164757683665,7.939465816038499,0.7527087218838374,2,0
62268-15-9,O=C(O)C1=CC(Cl)=C(Cl)C(Cl)=C1C(=O)O,15,17,-8.9686003986295,-1.1121293069934999,7.856471091635999,3.559856419857408,1,2
675139-09-0,O=C(O)C1=CC=C(C=C1C(=O)O)CNC(=O)OC(C)(C)C,21,25,-8.744106471967001,-0.6811009678015,8.0630055041655,4.406165093366339,0,1
