cas,smiles,h1,h2
2151858-40-9,O=C(O)C1=CC=C(C(F)=C1C(=O)O)C(F)(F)F,17,20
917766-58-6,O=C(O)C=1C=C(C(=CC1C(=O)O)P(=O)(O)O)P(=O)(O)O,20,23
1061606-09-4,O=C(O)C=1C=CC=C(OCC=2C=CC=C(OC)C2)C1C(=O)O,22,35
916849-62-2,O=C(O)C1=CC=C(OC2=CC=C(N)C(O)=C2)C=C1C(=O)O,21,31
916849-61-1,O=C(O)C1=CC=C(OC2=CC=C(O)C(N)=C2)C=C1C(=O)O,21,31
1344893-80-6,O=C(O)C=1C=C2C(=O)CCC2=CC1C(=O)O,16,23
1344574-24-8,O=C(O)C=1C=C2C(=CC1C(=O)O)C(N)CC2,16,19
1344476-10-3,O=C(O)C=1C=C2C(=CC1C(=O)O)C(N)CC2,16,19
63196-16-7,O=C(O)C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1C(=O)O,20,28
250207-95-5,O=C(O)C=1C=C(C=C(C1C(=O)O)N(=O)=O)C(C)(C)C,19,22
858789-93-2,O=C(O)C=1C=C(C=2OCOCC2C1C(=O)O)C,17,23
89939-55-9,O=C(O)C1=CC=C(NO)C(=C1C(=O)O)N(=O)=O,17,22
89939-54-8,O=C(O)C=1C(=CC=C(C1C(=O)O)N(=O)=O)NO,17,20
695154-17-7,O=C(O)C1=C(F)C(F)=C(C(F)=C1C(=O)O)CCS,18,19
681255-90-3,O=C(O)C1=CC=2C=C(CS)CC2C=C1C(=O)O,17,26
89939-56-0,O=C(O)C1=CC(NO)=C(C=C1C(=O)O)N(=O)=O,17,22
2733294-53-4,O=C(O)C1=CC=C(SC2=CC=C(I)C=C2)C=C1C(=O)O,20,28
1630294-43-7,O=C(O)C1=CC=2NC(C)CC2C=C1C(=O)O,16,26
181942-10-9,O=C(O)C1=C(F)C(F)=C(C(F)=C1C(=O)O)CC(=O)O,19,20
946127-80-6,O=C(O)C1=CC=C(OC2=NC=CC=N2)C=C1C(=O)O,19,26
1344902-26-6,O=C(O)C1=CC=C2C(=O)CCC2=C1C(=O)O,16,23
1061606-48-1,O=C(O)C=1C=CC=C(OCC2=CC=C(OC)C=C2)C1C(=O)O,22,35
102326-94-3,O=C(O)C1=CC=2NC(=S)NC2C=C1C(=O)O,16,21
2749794-60-1,O=C(O)C=1C=CC=C(OCC(F)(F)F)C1C(=O)O,18,24
2734031-04-8,O=C(O)C1=CC=C(SC2=CC=C(Br)C=C2)C=C1C(=O)O,20,28
2733318-30-2,O=C(O)C1=CC=C(SC2=CC=C(C=C2)CC(=O)O)C=C1C(=O)O,23,34
2733109-19-6,O=C(O)C1=CC=C(SC2=CC=C(Cl)C=C2)C=C1C(=O)O,20,28
1782295-51-5,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)C,16,20
1344437-44-0,O=C(O)C1=CC=C2C(=C1C(=O)O)CCC2N,16,19
1344408-17-8,O=C(O)C1=CC=C2C(=C1C(=O)O)CCC2N,16,19
5656-54-2,O=C(O)C1=CC=C2C=C3OCOC3=CC2=C1C(=O)O,19,26
55552-93-7,O=C(O)C1=CC=CC(=C1)C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,32,30
16524-16-6,O=C(O)C=1C=CC=C(NC(=O)C=2C=CC=CC2)C1C(=O)O,21,31
607735-04-6,O=C(O)C1=CC=C(OCC2=CC=C(F)C=C2)C=C1C(=O)O,21,31
1061605-95-5,O=C(O)C=1C=CC=C(OCC=2C=CC=C(F)C2)C1C(=O)O,21,31
1061605-83-1,O=C(O)C=1C=CC=C(OCC=2C=CC=C(Cl)C2)C1C(=O)O,21,31
916849-64-4,O=C(O)C=1C=CC=C(OC2=CC=C(N)C(O)=C2)C1C(=O)O,21,31
916849-63-3,O=C(O)C=1C=CC=C(OC2=CC=C(O)C(N)=C2)C1C(=O)O,21,31
607735-39-7,O=C(O)C1=CC=C(OCC=2C=CC=C(F)C2)C=C1C(=O)O,21,31
67389-70-2,O=C(O)C1=CC=C(C=C1C(=O)O)N(CC=C)CC=C,19,23
25437-78-9,O=C(O)C1=CC=C(OC)C(OS(=O)(=O)C)=C1C(=O)O,19,28
1344895-99-3,O=C(O)C1=CC=2OCC(=O)C2C=C1C(=O)O,16,21
1344491-15-1,O=C(O)C1=CC=2OCC(N)C2C=C1C(=O)O,16,24
1344471-68-6,O=C(O)C1=CC=2OCC(N)C2C=C1C(=O)O,16,24
1380302-84-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCC=2C=CC=CC2,22,26
1785448-67-0,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)CC,17,21
5211-66-5,O=C(O)C1=CC(OC)=C(C(=O)OC)C(OC)=C1C(=O)O,20,31
478-52-4,O=C(O)C1=CC=2OCOC2C(OC)=C1C(=O)O,17,24
444288-03-3,O=C(O)C=1C=CC=C(NCCOCC=2C=CC=CC2)C1C(=O)O,23,39
1061605-86-4,O=C(O)C=1C=CC=C(OCC2=CC=C(Cl)C=C2)C1C(=O)O,21,31
808115-83-5,O=C(O)C1=CC=C(OC2=CC(F)=CC(OC)=C2)C=C1C(=O)O,22,32
2168743-95-9,O=C(O)C1=CC=C2C(NC(C)C2)=C1C(=O)O,16,26
2167429-89-0,O=C(O)C1=CC=C2NC(C)CC2=C1C(=O)O,16,26
1784088-05-6,O=C(O)C1=C(N)C=C2OC=CC2=C1C(=O)O,16,22
1630495-48-5,O=C(O)C1=CC=C2NC(C)CC2=C1C(=O)O,16,26
1630310-03-0,O=C(O)C1=CC=C2NC(C)CC2=C1C(=O)O,16,26
1630295-49-6,O=C(O)C1=CC=C2C(NC(C)C2)=C1C(=O)O,16,26
1344899-66-6,O=C(O)C1=CC=C2C(=O)COC2=C1C(=O)O,16,21
1344634-71-4,O=C(O)C1=CC=C2C(=C1C(=O)O)C(N)CCC2,17,20
1344570-43-9,O=C(O)C1=CC=C2C(OCC2N)=C1C(=O)O,16,24
1344538-48-2,O=C(O)C1=CC=C2C(OCC2N)=C1C(=O)O,16,24
1344520-24-6,O=C(O)C1=CC=C2C(=C1C(=O)O)C(N)CCC2,17,20
58974-91-7,O=C(O)C=1C=CC=C(SC2=CC=CC(C(=O)O)=C2C(=O)O)C1C(=O)O,25,34
1005516-41-5,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCCC(O)C2,19,23
927672-52-4,O=C(O)C=1C=CC=C(NC2=CC=C(C=C2)C(C)C)C1C(=O)O,22,38
874524-64-8,O=C(O)C1=CC=2N=C(SC2C=C1C(=O)O)N,16,19
1005516-14-2,O=C(O)C=1C=CC=C(OCCCC2CCCCC2)C1C(=O)O,22,43
810687-63-9,O=C(O)C=1C=C2C(=O)CC(=O)C2=CC1C(=O)O,17,22
1028542-93-9,O=C(O)C1=C(OCC)C2=CC=C(C=C2C(OCC)=C1C(=O)O)C,23,37
748801-94-7,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)C2=CC(Cl)=CC=C2Cl,21,24
570396-58-6,O=C(O)C1=CC=C(C=C1C(=O)O)N(C=2C=CC=CC2)C=3C=CC=CC3,25,29
1344889-47-9,O=C(O)C1=CC=C2OCC(=O)C2=C1C(=O)O,16,21
1344627-58-2,O=C(O)C1=CC=C2OCC(N)C2=C1C(=O)O,16,24
1344512-07-7,O=C(O)C1=CC=C2OCC(N)C2=C1C(=O)O,16,24
425420-61-7,O=C(O)C1=CC=2C=CC=CC2C(C=3C=CC(=CC3)C=4C=CC=CC4)=C1C(=O)O,28,43
343234-33-3,O=C(O)C=1C=C(C(=O)OCC)C(=CC1C(=O)O)C(=O)OCC,22,30
444288-74-8,O=C(O)C=1C=CC=C(NCC=2C=CC=C(Cl)C2)C1C(=O)O,21,32
54408-07-0,O=C(O)C1=CC=C(N=NC2=CC=C(N)C=C2C)C=C1C(=O)O,22,34
202597-63-5,O=C(O)C=1C=CC2=C(OC=3C=CC=CC32)C1C(=O)O,19,26
15908-31-3,O=C(O)C1=CC=2OC(=C(C2C=C1C(=O)O)C)C,17,20
1784361-38-1,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)C(C)C,18,22
1780738-75-1,O=C(O)C1=CC=2OC(=O)NC2C=C1C(=O)O,16,20
40513-55-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(N)C(N)=C2,22,26
752993-30-9,O=C(OCOC(=O)C1=CC=C(C(=O)O)C(=C1)C(=O)O)C=C,27,25
1005516-42-6,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCCC(CO)C2,20,24
1061605-90-0,O=C(O)C=1C=CC=C(OCC=2C=C(Cl)C=C(Cl)C2)C1C(=O)O,22,31
108604-57-5,O=C(O)C=1C=2OC(=CC2C=C(C1C(=O)O)C)C,17,20
2733760-14-8,O=C(O)C1=CC=C(SC2=CC=C(C=C2)C(=O)OC)C=C1C(=O)O,23,34
1822826-56-1,O=C(O)C=1C(OCC=2C=CC=CC2)=CC=C(C(=O)C)C1C(=O)O,23,36
449763-63-7,O=C(O)C1=C(OC(C)C)C=2C=CC=CC2C(OC(C)C)=C1C(=O)O,24,43
1005516-39-1,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCC(CO)CC2,20,24
856806-50-3,O=C(O)C1=CC=C(SC2=CC=C(C=C2)N(=O)=O)C=C1C(=O)O,22,30
56306-44-6,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C=CC2C3,17,20
927672-63-7,O=C(O)C=1C=CC=C(NC=2C=CC=3C=CC=CC3C2)C1C(=O)O,23,35
114804-16-9,O=C(O)C1=CC=C(C=C1)C(=O)OC2=CC=C(C(=O)O)C(=C2)C(=O)O,33,31
1785229-16-4,O=C(O)C1=CC=2N=C(OC2C=C1C(=O)O)N,16,19
1061606-45-8,O=C(O)C=1C=CC=C(OC(C=2C=CC=3C=CC=CC3C2)C)C1C(=O)O,25,40
2866253-76-9,O=C(O)C1=CC(F)=C(C=C1C(=O)O)NC(C(=O)N)C,19,22
1781442-39-4,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)C(C)(C)C,19,23
1005516-72-2,O=C(O)C1=C(C(=O)O)C(=CC=C1N2CCC(O)CC2)C,21,20
1005516-40-4,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCC(CCO)CC2,21,25
752993-36-5,O=C(OCCCCOC(=O)C1=CC=C(C(=O)O)C(=C1)C(=O)O)C=C,36,34
39995-20-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)N(=O)=O,23,27
1784934-69-5,O=C(O)C1=CC=2N=C(SC2C=C1C(=O)O)CC,17,20
1779992-55-0,O=C(O)C1=CC=2C=NN(C2C=C1C(=O)O)C,16,20
1779862-38-2,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)C3CC3,18,22
883801-81-8,O=C(O)C1=CC(OC=2C=CC=CC2C)=C(OC=3C=CC=CC3C)C=C1C(=O)O,28,45
387360-86-3,O=C(O)C1=CC=C(N=NC2=CC=C(C=C2)N(C)C)C=C1C(=O)O,23,37
1812209-09-8,O=C(O)C1=CC=C(C=C1C(=O)O)CN(CC(=O)O)CC2=CC=C(C=C2)C,26,30
1005516-43-7,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCC(OC)CC2,20,24
927672-69-3,O=C(O)C=1C=CC=C(NC2=CC(OC)=CC=C2OC)C1C(=O)O,23,37
927672-55-7,O=C(O)C=1C=CC=C(NC2=CC=C(OC)C=C2OC)C1C(=O)O,23,37
927672-44-4,O=C(O)C=1C=CC=C(NC2=CC=C(OC)C(OC)=C2)C1C(=O)O,23,37
808116-16-7,O=C(O)C1=CC=C(OC2=CC=C(C=C2)C(F)(F)F)C=C1C(=O)O,23,31
104462-39-7,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C(=C(C(N)=C(C2C)C)C)C,25,29
22931-21-1,O=C(O)C1=CC=C2NC=3C=CC=CC3C2=C1C(=O)O,19,27
1780976-68-2,O=C(O)C1=CC=2N=C(OC2C=C1C(=O)O)CC,17,20
1780884-15-2,O=C(O)C1=CC=2N=NN(C2C=C1C(=O)O)C,16,19
50984-98-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(N)C=C2,22,26
84185-82-0,O=C(O)C=1C(O)=CC=C(C=2C=CC(=CC2)NC(=O)C)C1C(=O)O,23,35
2733084-51-8,O=C(O)C1=CC=C(SC2=CC=C(C=C2)C(=O)OCC)C=C1C(=O)O,24,37
1521080-76-1,O=C(O)C1=CC=CC(C2=NN=C(O2)CN)=C1C(=O)O,19,27
82520-82-9,O=C(O)C1=CC=2SC=3C=C(C(=O)O)C(=CC3SC2C=C1C(=O)O)C(=O)O,26,32
108604-58-6,O=C(O)C=1C=2OC(=CC2C=C(C1C(=O)O)CC)C,18,21
1095282-49-7,O=C(O)C=1C=CC=C(N=NC2=CC=CC(C(=O)O)=C2C(=O)O)C1C(=O)O,26,35
886845-79-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC(OC)=CC=C2OC,24,28
770744-13-3,O=C(O)C1=CC(OC=2C=CC=CC2)=C(OC3=CC=C(N)C=C3)C=C1C(=O)O,27,41
671215-11-5,O=C(O)C1=CC=2C=C(CC2C=C1C(=O)O)S(=O)(=O)S,19,25
67193-45-7,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)C(F)(F)F,19,23
1780790-28-4,O=C(O)C1=CC=2N=C(Cl)SC2C=C1C(=O)O,16,19
93203-79-3,O=C(O)C1=CC=2C(Cl)=CC=CC2C(C=3C=CC=CC3Cl)=C1C(=O)O,24,33
927672-71-7,O=C(O)C=1C=CC=C(NC=2C=CC=CC2OC=3C=CC=CC3)C1C(=O)O,26,40
927672-59-1,O=C(O)C=1C=CC=C(NC2=CC=C(OC)C(OCC)=C2)C1C(=O)O,24,40
114473-23-3,O=C(O)C=1C=CC=C(NS(=O)(=O)C=2C=CC=CC2)C1C(=O)O,22,32
2083629-97-2,O=C(O)C1=CC=C(C=C1C(=O)O)CN(CC=2C=CC=C(C2)C)CCC(=O)O,27,31
1784982-04-2,O=C(O)C1=CC=2N=C(Cl)OC2C=C1C(=O)O,16,19
1780827-63-5,O=C(O)C1=CC=2N=C(SC2C=C1C(=O)O)C(C)C,18,21
1622985-32-3,O=C(O)C1=CC=2N=C(NC2C=C1C(=O)O)C=3C=CN=CC3,21,25
194853-57-1,O=C(O)C1=CC=C(SC2=CC=C3C=C(Br)C=CC3=C2)C=C1C(=O)O,24,34
125592-10-1,O=C(O)C1=CC=C2C(C(=O)C(Br)C2)=C1C(=O)O,17,23
2083622-36-8,O=C(O)C1=CC=C(C=C1C(=O)O)CN(CC=2C=CC=CC2C)CCC(=O)O,27,31
1781086-48-3,O=C(O)C1=CC=2N=C(OC2C=C1C(=O)O)C(C)C,18,21
2961390-78-1,O=C(O)C1=CC=C2C(OC3(CNC3)CC2)=C1C(=O)O,19,31
2961389-74-0,O=C(O)C1=CC=2OC3(CNCC3)CCC2C=C1C(=O)O,20,34
2961389-69-3,O=C(O)C1=CC=2OC3(CCNCC3)CCC2C=C1C(=O)O,21,37
1005516-70-0,O=C(O)C=1C(F)=CC=C(C1C(=O)O)N2CCC(O)CC2,20,23
444288-63-5,O=C(O)C=1C=CC=C(NCC=2OC(=CC2)CO)C1C(=O)O,21,33
54451-50-2,O=C(O)C1=CC=C(N=NC2=CC=C(N)C=3C=CC=CC23)C=C1C(=O)O,25,37
1061606-12-9,O=C(O)C=1C=CC=C(OCC2=CC=C3OCOC3=C2)C1C(=O)O,23,34
1019854-29-5,O=C(O)C=1C=CC=C(NC2=CC=CC(=C2)C(F)(F)F)C1C(=O)O,23,32
100047-06-1,O=C(O)C=1C=C2SC=CC2=C(C=3C=CC(=CC3)C)C1C(=O)O,22,33
1782406-14-7,O=C(O)C1=CC=2N=C(SC2C=C1C(=O)O)C(C)(C)C,19,22
62155-85-5,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)NC2=CC=CC(=C2)C,23,27
927673-14-1,O=C(O)C=1C=CC=C(NCC(=O)NC=2C=CC=CC2)C1C(=O)O,23,36
927672-65-9,O=C(O)C=1C=CC=C(NC2=CC=C(C=C2)C3CCCCC3)C1C(=O)O,25,45
1785552-19-3,O=C(O)C1=CC=2N=C(OC2C=C1C(=O)O)C(C)(C)C,19,22
53879-50-8,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)OCCOC(=O)C(=C)C,26,30
374071-85-9,O=C(O)C1=C2C=CNC2=C3C(=C1C(=O)O)CCC3,18,22
26363-45-1,O=C(O)C1=CC=2C=C3C(=O)OC(=O)C3=CC2C=C1C(=O)O,21,26
1061606-39-0,O=C(O)C=1C=CC=C(OCC=2SC(Cl)=CC2)C1C(=O)O,20,28
863962-12-3,O=C(O)C1=CC(OC2=CC=CC(N)=C2)=C(OC3=CC=CC(N)=C3)C=C1C(=O)O,28,43
85218-62-8,O=C(O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C1,41,39
62073-62-5,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)NCCCOC,21,25
1525857-54-8,O=C(O)C1=CC=CC(C2=NC(=CS2)CN)=C1C(=O)O,19,28
328265-70-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)NC(=O)C,24,28
138455-20-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(OC3=CC=C(N)C=C3)C=C2,28,32
138370-78-2,O=C(O)C1=CC=CC(=C1)S(=O)(=O)C2=CC=C(C(=O)O)C(C(=O)O)=C2C(=O)O,35,34
309725-94-8,O=C(O)C=1C=C(C(=CC1C(=O)O)N2CCOCC2)N(=O)=O,21,24
10133-84-3,O=C(O)C1=CC=C(N=N(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,27,36
66421-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=C2)N(=O)=O)N(=O)=O,26,30
61415-67-6,O=C(O)C=1C=C2C(=O)C3=CC=C(OC)C=C3C(=O)C2=CC1C(=O)O,24,33
927672-42-2,O=C(O)C=1C=CC=C(NC2=CC=C3OCOC3=C2)C1C(=O)O,22,32
100039-01-8,O=C(O)C1=CC=C2C(=O)C=3C=CC=CC3NC2=C1C(=O)O,21,29
24934-81-4,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C2=CC=CC(=C2)N(=O)=O,24,28
444288-83-9,O=C(O)C=1C=CC=C(NCC=2OC(=C(C2)C)C)C1C(=O)O,21,35
444288-80-6,O=C(O)C=1OC(=CC1)CNC2=CC=CC(C(=O)O)=C2C(=O)O,32,31
100047-07-2,O=C(O)C=1C=C2SC=CC2=C(C=3C=CC(OC)=CC3)C1C(=O)O,23,34
862190-14-5,O=C(O)C1=CC=C(SC2=NN=C(S2)N)C=C1C(=O)O,19,25
2365462-88-8,O=C(O)C=1C=C2C(=CC1C(=O)O)CC3N(C(=O)CC3)C2,20,23
1061606-52-7,O=C(O)C=1C=CC=C(OCC=2OC=3C=CC=CC3C2)C1C(=O)O,23,34
671215-10-4,O=C(O)C=1C(F)=C2C(F)=CC(=C(F)C2=C(F)C1C(=O)O)S(=O)(=O)S,24,26
345947-36-6,O=C(O)C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(SC3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C2,42,40
116751-33-8,O=C(O)C1=C(F)C(F)=C(OC(=O)C=2C=CC=CC2)C(F)=C1C(=O)O,24,30
300406-07-9,O=C(O)C1=CC=C(SC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C1,42,40
67193-42-4,O=C(O)C1=CC(OC)=C(C=C1C(=O)O)S(=O)(=O)C(F)(F)F,21,27
62351-72-8,O=C(O)C=1C=C(C(=O)OCCCCCCCCCCCC)C(=CC1C(=O)O)N(=O)=O,30,58
2419694-45-2,O=C(O)C1=CC=C(C=C1C(=O)O)NS(=O)(=O)C=2C(=CC(=CC2C)C)C,25,29
884740-23-2,O=C(O)C=1C=C2C(=O)C3=CC=C(Cl)C=C3C(=O)C2=CC1C(=O)O,23,29
1005516-45-9,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCC(O)(C=3C=CC=CC3)CC2,25,29
62155-89-9,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)NC=2C=CC=C(OC)C2,24,28
503427-05-2,O=C(O)C=1C=C2C(=O)C3=NC=CC=C3C(=O)C2=CC1C(=O)O,22,28
138081-22-8,O=C(O)C1=CC(F)=C(C=C1C(=O)O)C(=O)C=2C=C(C(=O)O)C(=CC2F)C(=O)O,28,31
144328-61-0,O=C(O)C1=CC(OC)=C2C(OC3(C2)CCCCC3)=C1C(=O)O,22,39
916425-33-7,O=C(O)C=1C=CC2=CC=C(N=C2C1C(=O)O)C=CC3=CC=C(O)C(O)=C3,26,31
92241-98-0,O=C(O)C=1C=CC=2C(=CC(=O)C2C1C(=O)O)C=3C=CC=CC3,22,26
723735-71-5,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C3CC3)C=C1C(=O)O,25,39
302927-97-5,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=C(C=C(C2)N(=O)=O)N(=O)=O,27,31
294890-18-9,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C=3C=CC=CC3)C=C1C(=O)O,28,42
84595-08-4,O=C(O)C1=CC(OC2=CC=C(F)C=C2F)=C(C=C1C(=O)O)N(=O)=O,24,30
40850-37-1,O=C(O)C=1C=C2C(=O)C3=CC(C(=O)O)=C(C=C3C(=O)C2=CC1C(=O)O)C(=O)O,28,34
444288-87-3,O=C(O)C=1C=CC=C(NCC=2OC=3C=CC=CC3C2)C1C(=O)O,23,35
194853-58-2,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C3C=C(Br)C=CC3=C2,26,30
332368-63-5,O=C(O)C1=CC=C(OC=2C=CC=CC2NC(=O)C=3C=CC=CC3)C=C1C(=O)O,28,42
53624-86-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OC2=CC=C(OC(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C2,36,40
344751-59-3,O=C(O)C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O,46,44
727656-48-6,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C3=CC=C(OC)C=C3)C=C1C(=O)O,30,46
405902-91-2,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)CC=3C=CC=CC3)C=C1C(=O)O,29,45
328265-77-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)NC(=O)C=3C=CC=CC3,29,33
310873-43-9,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)CCCCCCCCCCC)C=C1C(=O)O,33,65
66421-08-7,O=C(O)C1=CC=C(OC2=CC=C(NC(=O)C)C(=C2)N(=O)=O)C=C1C(=O)O,26,37
87998-51-4,O=C(O)C1=C(OC)C2=C(OC)C=3C(OC)=C(C(=O)O)C(C(=O)O)=C(OC)C3C(OC)=C2C(OC)=C1C(=O)O,38,59
1780805-27-7,O=C(O)C1=CC=2N=C(N(C2C=C1C(=O)O)C)C3CC3,19,22
770744-17-7,O=C(O)C1=CC(OC2=CC=CC(N)=C2)=C(C=C1C(=O)O)N3CCOCC3,26,35
770744-15-5,O=C(O)C1=CC(OC2=CC=C(N)C=C2)=C(C=C1C(=O)O)N3CCOCC3,26,35
339252-13-0,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C=CC=CC)C=C1C(=O)O,27,43
331675-79-7,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C=3C=CC(=CC3)C=4C=CC=CC4)C=C1C(=O)O,34,52
56113-32-7,O=C(O)C=1C(N)=C2C(=O)C=3C=CC=CC3C(=O)C2=C(N)C1C(=O)O,24,33
1898181-04-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C=2SC=CC2)N(=O)=O,23,26
3002680-36-3,O=C(O)C=1C=C2C(=CC1C(=O)O)C(NCC3C4CCCCC34)CC2,24,27
350500-75-3,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C3=CC=C(Br)C=C3)C=C1C(=O)O,29,42
294892-13-0,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C3CCCCC3)C=C1C(=O)O,28,48
220596-15-6,O=C(O)C1=C(F)C(F)=C(SSC2=C(F)C(F)=C(C(=O)O)C(C(=O)O)=C2F)C(F)=C1C(=O)O,32,35
61415-80-3,O=C(O)C=1C=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC1C(=O)O)N(=O)=O,25,31
443905-30-4,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)COC3=CC=CC(=C3)C)C=C1C(=O)O,31,49
73606-84-5,O=C(O)C=1C=2OC(=CC2C=C(C1C(=O)O)CCC3=CC=CC=4C=CC=CC43)C,28,31
877823-13-7,O=C(O)C1=CC=C2C(C=CN2[Si](OC(C)C)(OC(C)C)OC(C)C)=C1C(=O)O,28,54
497147-06-5,O=C(O)C=1C(=CC=C(NC(=O)OC(C)(C)C)C1C(=O)O)NC(=O)OC(C)(C)C,28,41
1222800-55-6,O=C(O)C=1C=C2C(=O)OC(=CC3=CC=C(OC)C=C3)C2=CC1C(=O)O,25,36
294667-39-3,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C(C=3C=CC=CC3)C=4C=CC=CC4)C=C1C(=O)O,35,55
294667-38-2,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C(C=3C=CC=CC3)C=4C=CC=CC4)C=C1C(=O)O,35,55
1061606-33-4,O=C(O)C=1C=CC=C(OCC=2SC=3C=CC=C(F)C3C2)C1C(=O)O,24,34
100303-99-9,O=C(O)C1=CC=C(OC2=C(F)C(F)=C(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)C(F)=C2F)C=C1C(=O)O,36,45
444149-79-5,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)COC3=CC=C(C=C3C)C)C=C1C(=O)O,32,52
339100-35-5,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C=CC=3C=CC=CC3)C=C1C(=O)O,30,46
723736-52-5,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C=3OC=CC3)C=C1C(=O)O,27,39
328265-76-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)NC(=O)C=CC=3C=CC=CC3,31,35
302927-07-7,O=C(O)C1=CC=C(OC=2C=CC=CC2NC(=O)C(C=3C=CC=CC3)C=4C=CC=CC4)C=C1C(=O)O,35,55
2637122-42-8,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)N(C)CC=2OC(=CC2)C,24,28
302927-78-2,O=C(O)C1=CC=C(OC2=CC=CC(=C2)NC(=O)C3=CC=C(C=C3)N(=O)=O)C=C1C(=O)O,31,44
2616551-66-5,O=C(O)C=1C=C2C(=CC1C(=O)O)CCN(C(=O)OC(C)(C)C)C2,23,26
413608-47-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C=CC=C(C2)NC(=O)C3=CC=CC(=C3)N(=O)=O,32,36
59590-38-4,O=C(O)C=1C=C2C=CC=C(C2=CC1C(=O)O)N3C(=O)C=4C=CC=CC4C3=O,27,33
