descriptor,mae,r2
nbo_charge|molecular_volume_A3|homo_ev,1.4712894782396304,0.24752990288308663
nbo_charge|molecular_volume_A3|gap_ev,1.482831740474025,0.22234521624140136
nbo_charge|lumo_ev|homo_ev,1.5649542914465175,0.11886776981755609
nbo_charge|lumo_ev|gap_ev,1.5358411144439108,0.14926014834891932
nbo_charge|homo_ev|gap_ev,1.6472313129578198,-0.11974599920436546
3and6|4and5|delta_g_hartree,1.507017484708914,0.0934225815351517
3and6|4and5|molecular_volume_A3,1.6141297579253244,-0.25901405372513775
3and6|4and5|lumo_ev,1.513776941829742,0.07147130163727877
3and6|4and5|homo_ev,1.590208038287705,-0.072542609092487
3and6|4and5|gap_ev,1.6075072952181888,-0.24805680194016277
3and6|delta_g_hartree|molecular_volume_A3,1.563463955687971,-0.06560776910003518
3and6|delta_g_hartree|lumo_ev,1.5432746715762449,-0.01357756077775929
3and6|delta_g_hartree|homo_ev,1.5350896612059433,0.028407352917520945
3and6|delta_g_hartree|gap_ev,1.5070109238198537,0.09344017530978344
3and6|molecular_volume_A3|lumo_ev,1.5580172640745544,-0.05602677307456805
3and6|molecular_volume_A3|homo_ev,1.6117683218978363,-0.13564879661281704
3and6|molecular_volume_A3|gap_ev,1.6101063221272882,-0.2685324174173722
3and6|lumo_ev|homo_ev,1.5172697405755784,0.03622906043428431
3and6|lumo_ev|gap_ev,1.5200069002746648,0.029572332873067375
3and6|homo_ev|gap_ev,1.6098998785058132,-0.11968594636107266
4and5|delta_g_hartree|molecular_volume_A3,1.7472340540901632,-0.5153508937270457
4and5|delta_g_hartree|lumo_ev,1.6478928937941208,-0.12306696996897903
4and5|delta_g_hartree|homo_ev,1.7639269765261045,-0.4967009025358373
4and5|delta_g_hartree|gap_ev,1.7393864600493414,-0.49085987291178035
4and5|molecular_volume_A3|lumo_ev,1.6627103643805796,-0.17362823928812565
4and5|molecular_volume_A3|homo_ev,1.7187850134293259,-0.36611754968395194
4and5|molecular_volume_A3|gap_ev,1.6743909501442318,-0.31497664441593054
4and5|lumo_ev|homo_ev,1.6516098824219798,-0.1338392626719369
4and5|lumo_ev|gap_ev,1.6516087719363168,-0.13383783800181193
4and5|homo_ev|gap_ev,1.7237696242659708,-0.38173155847815576
delta_g_hartree|molecular_volume_A3|lumo_ev,1.5454409877121646,0.09048007769516708
delta_g_hartree|molecular_volume_A3|homo_ev,1.628527881995921,-0.15494369785130258
delta_g_hartree|molecular_volume_A3|gap_ev,1.5952371634905358,-0.18484891857657137
delta_g_hartree|lumo_ev|homo_ev,1.5454415400847095,0.09048118673098593
delta_g_hartree|lumo_ev|gap_ev,1.5454470591365017,0.09046856514108648
delta_g_hartree|homo_ev|gap_ev,1.6298839439988166,-0.16058287147518335
molecular_volume_A3|lumo_ev|homo_ev,1.5454397563666082,0.09048391016208368
molecular_volume_A3|lumo_ev|gap_ev,1.5454446641060908,0.09047288050452906
molecular_volume_A3|homo_ev|gap_ev,1.625780059529459,-0.1501136143600621
