descriptor,mae,r2
molecular_volume_A3|lumo_ev|homo_ev|gap_ev,1.545442929578143,0.0904759398023343
molecular_volume_A3|lumo_ev|gap_ev,1.5454446641060908,0.090472880504529
delta_g_hartree|lumo_ev|gap_ev,1.5454470591365017,0.0904685651410864
nbo_charge|3and6|homo_ev|gap_ev,1.5035079580833235,0.079971952420036
3and6|4and5|lumo_ev,1.513776941829742,0.0714713016372787
nbo_charge|3and6|delta_g_hartree|homo_ev,1.508125432687338,0.0651763208998204
nbo_charge|4and5|molecular_volume_A3|homo_ev,1.5886800811980637,0.0507609456437073
nbo_charge|3and6|4and5|gap_ev,1.5021601162915796,0.0480825228490477
nbo_charge|4and5|lumo_ev|gap_ev,1.5590306649407624,0.0474663176496048
lumo_ev|homo_ev,1.554771745203253,0.0470740346049284
lumo_ev|gap_ev,1.5547731180014723,0.0470709005409877
3and6|lumo_ev|homo_ev|gap_ev,1.5146540571442435,0.0448644614843333
nbo_charge|4and5|lumo_ev,1.5616289256000655,0.0433392287735759
nbo_charge|4and5|lumo_ev|homo_ev,1.57282335169113,0.0403996037225538
3and6|lumo_ev|homo_ev,1.5172697405755784,0.0362290604342843
nbo_charge|delta_g_hartree|lumo_ev|homo_ev,1.6144212768259574,0.0345316543638576
3and6|lumo_ev|gap_ev,1.5200069002746648,0.0295723328730673
3and6|4and5|delta_g_hartree|gap_ev,1.524090832714506,0.029176021251343
3and6|delta_g_hartree|homo_ev,1.5350896612059433,0.0284073529175209
nbo_charge|4and5|delta_g_hartree|lumo_ev,1.5630229585078437,0.0256920727441666
dipole_moment_debye|nbo_charge|delta_g_hartree|molecular_volume_A3,1.5772827016182716,0.0218243640873226
4and5|lumo_ev,1.5663383609425263,0.0201396308025983
nbo_charge|3and6|4and5|delta_g_hartree,1.514539964842293,0.0199878020677399
nbo_charge|3and6|delta_g_hartree,1.5589954668570514,0.015952971294207
dipole_moment_debye|nbo_charge|4and5|lumo_ev,1.6036369718091985,0.0152713175257461
3and6|delta_g_hartree|homo_ev|gap_ev,1.532898216127271,0.0107623895460005
