cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
36439-99-3,O=C(O)C1=CC=CC=2C1=CC=C(C(=O)O)C2C(=O)O,177.76872944124796,257.16142833333333,0.53653,-0.65357,209.52800000000005,4.881552885097118,-8.051848836295001,-1.2443766383365,6.807472197958501,3.173711385156454,1,1,1.9344,3,3,ok,False,8.053524813934127,1.272801689564413,1.272801689564413,5.558879342926147,10.548170284942106,18.18,0.5,1.0,3.445513809231839e-17,5.111826798898455e-18,9.326326503498539,1.6351558755087958,2.4824485263151033,0.6586867192513306,True,0.6479976597598601,3.312451802783936e-18
2550769-15-6,O=C(O)C=1C=CC=C(C#CCC)C1C(=O)O,176.66884015257403,219.93155766666663,0.53608,-0.65356,194.21600000000004,3.274531251950422,-8.156340554887,-0.712394060609,7.443946494278,2.641557597860119,1,0,1.8445,2,2,ok,False,8.017411786302864,1.272801689564413,1.272801689564413,5.522766315294884,10.512057257310843,18.18,0.5,1.0,2.7087488339622665e-17,4.005837592222179e-18,9.290213475867276,1.1560673710535985,2.4824485263151033,0.46569641174781645,True,0.805032082826574,3.224827780331609e-18
2579423-32-6,O=C(O)C=1C=CC=C(C#CCC2(CO)CCC2)C1C(=O)O,180.25951903833416,287.18157,0.53628,-0.65327,260.8640000000001,3.250671701356506,-8.132666649893501,-0.705863328197,7.426803321696501,2.6296513045319085,1,0,1.9872,3,3,ok,False,8.036545133833755,1.272801689564413,1.272801689564413,5.5418996628257755,10.531190604841735,18.18,0.5,1.0,3.077300617258159e-17,4.558630916950439e-18,9.309346823398169,1.4703582199069078,2.4824485263151033,0.5923015943011225,True,0.7041096524642066,3.209776030646561e-18
130684-37-6,O=C(O)C=1C(F)=C(F)C(F)=C(O)C1C(=O)O,176.6747059253045,152.1984075,0.54321,-0.63785,161.04000000000005,5.520907565790248,-8.472536849168002,-0.96872530778,7.503811541388002,2.969738466397119,2,2,1.2059,3,3,ok,False,8.054522265869085,1.272801689564413,1.272801689564413,5.559876794861106,10.549167736877065,18.18,0.5,1.0,3.468446587022767e-17,5.146308390066996e-18,9.3273239554335,1.8467096853891227,2.4824485263151033,0.7439065365558019,True,0.5749932742955796,2.9590927117394345e-18
4464-96-4,O=C(O)C1=CC=C2C(=C1C(=O)O)CCC2,178.36488349001542,197.31235,0.53359,-0.66325,178.88800000000003,3.6771003222648138,-8.362058625865,-0.5532074580665001,7.8088511677985,2.544611481233646,1,1,1.5717,2,2,ok,False,8.002564364729832,1.272801689564413,1.272801689564413,5.507918893721852,10.497209835737811,18.18,0.5,1.0,2.453075090879767e-17,3.622948012221003e-18,9.275366054294246,1.245778277069726,2.4824485263151033,0.5018344847290487,True,0.7773707784724935,2.816373916625614e-18
640296-01-1,O=C(O)C1=CC=C(OC2=CC=3C=CC=CC3C=C2NC(=O)C=4C=CC=CC4)C=C1C(=O)O,182.2949617852796,471.64412166666665,0.53274,-0.66035,366.0000000000001,6.45523063337012,-7.588166835043,-0.583412095472,7.004754739571,2.383192013862224,0,1,5.280800000000004,3,4,ok,False,8.009438604435344,1.272801689564413,1.272801689564413,5.514793133427364,10.504084075443323,18.18,0.5,1.0,2.568346177172456e-17,3.7955103721016485e-18,9.282240293999756,1.39715427805463,2.4824485263151033,0.5628129901764923,True,0.728506695991515,2.7650547207812975e-18
2516262-50-1,O=C(O)C=1C=CC=C(C#CC2=NC=CN=C2OC)C1C(=O)O,174.13875151764307,317.8159906666667,0.5362,-0.6503,249.60000000000005,4.126387856224861,-7.7903474259645,-1.217981594838,6.5723658311265,3.0867876892484034,1,0,1.2814,2,5,ok,False,8.013861548673734,1.272801689564413,1.272801689564413,5.519216077665755,10.508507019681714,18.18,0.5,1.0,2.645320299433545e-17,3.910800889274716e-18,9.286663238238148,1.4617449241705063,2.4824485263151033,0.5888319168253978,True,0.7070011218778877,2.7649406161582654e-18
100613-18-1,O=C(O)C1=CC=C(C(=C1C(=O)O)C)CCCC,178.63200739287478,235.743794,0.53431,-0.66486,221.55200000000005,4.135544313630311,-8.403147817290499,-0.527356642269,7.875791175021499,2.5316158126168955,1,1,2.734020000000001,2,2,ok,False,8.000087675161124,1.272801689564413,1.272801689564413,5.505442204153145,10.494733146169104,18.18,0.5,1.0,2.4128076718468135e-17,3.56269296359833e-18,9.272889364725536,1.2747984330306774,2.4824485263151033,0.5135246187452526,True,0.7681981786098503,2.7368542455823666e-18
2334919-65-0,O=C(O)C=1C=CC=C(NC(=O)CCCC2=CC=C3C(=C2)CCCC3)C1C(=O)O,180.35670399895577,393.57158933333335,0.53623,-0.64972,347.4960000000001,8.553815527587675,-7.717420914030499,-0.6745702353895,7.042850678640999,2.499893816630407,1,0,3.923200000000002,3,3,ok,False,8.01050051903541,1.272801689564413,1.272801689564413,5.515855048027431,10.50514599004339,18.18,0.5,1.0,2.5866230558055417e-17,3.822880944437445e-18,9.283302208599824,1.5420668885303397,2.4824485263151033,0.6211878603659722,True,0.6798559388653959,2.5990083136511504e-18
2338493-37-9,O=C(O)C=1C=CC=C(NC(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)CC4=CC=C(OC)C=C4)C1C(=O)O,177.2501827566414,477.978697,0.53489,-0.66256,396.1040000000001,2.316576070410812,-7.717420914030499,-1.5905054561725,6.126915457857999,3.5351186869244517,1,0,3.140100000000001,3,6,ok,False,8.057435182474684,1.272801689564413,1.272801689564413,5.562789711466705,10.552080653482664,18.18,0.5,1.0,3.536283723972164e-17,5.2483262206415476e-18,9.330236872039098,2.0978087910297516,2.4824485263151033,0.8450563098457058,True,0.48962270865148083,2.569699700037104e-18
